,C,A,G
PL17_88abebel_aberrans_bel_Caribbean,C,,
20762abehon_aberrans_hon_Caribbean,C,,
20864abehon_aberrans_hon_Caribbean,C,,
20866abehon_aberrans_hon_Caribbean,C,,
20761abehon_aberrans_hon_Caribbean,C,,
PL17_75abepri_aberrans_pri_Atlantic,,A,
PL17_79abepri_aberrans_pri_Atlantic,,A,
18492abebel_aberrans_bel_Caribbean,C,,
18493abebel_aberrans_bel_Caribbean,C,,
20433abehon_aberrans_hon_Caribbean,C,,
19708abegun_aberrans_gun_Caribbean,C,,
20862abehon_aberrans_hon_Caribbean,C,,
28389abeboc_aberrans_boc_Caribbean,C,,
18949abegun_aberrans_gun_Caribbean,C,,
19546abegun_aberrans_gun_Caribbean,C,,
20425abehon_aberrans_hon_Caribbean,C,,
18452abeboc_aberrans_boc_Caribbean,C,,
20644abehon_aberrans_hon_Caribbean,C,,
62552abearc_aberrans_arc_GulfofMexico,,,G
Ross2abeare_aberrans_are_GulfofMexico,,,G
23322affboc_affinis_boc_Caribbean,C,,
18986affboc_affinis_boc_Caribbean,C,,
19519affgun_affinis_gun_Caribbean,C,,
54689atlliz_atlahua_liz_GulfofMexico,,,G
54650casliz_castroaguirrei_liz_GulfofMexico,,,G
19416chlbar_chlorurus_bar_Atlantic,,A,
PL17_62chlpri_chlorurus_pri_Atlantic,,A,
PL17_39chlpri_chlorurus_pri_Atlantic,,A,
PL17_37chlpri_chlorurus_pri_Atlantic,,A,
19425chlbar_chlorurus_bar_Atlantic,,A,
19435chlbar_chlorurus_bar_Atlantic,,A,
PL17_40chlpri_chlorurus_pri_Atlantic,,A,
PL17_44chlpri_chlorurus_pri_Atlantic,,A,
20435chlhon_chlorurus_hon_Caribbean,C,,
62576ecoarc_ecosur_arc_GulfofMexico,,,G
62556ecoarc_ecosur_arc_GulfofMexico,,,G
62549ecoarc_ecosur_arc_GulfofMexico,,,G
62585esparc_espinozaperezei_arc_GulfofMexico,,,G
PL17_160floflk_floridae_flk_GulfofMexico,,,G
62560floarc_floridae_arc_GulfofMexico,,,G
62558floarc_floridae_arc_GulfofMexico,,,G
62559floarc_floridae_arc_GulfofMexico,,,G
Ross1gemare_gemma_are_GulfofMexico,,,G
62515gemarc_gemma_arc_GulfofMexico,,,G
PL17_153gemflk_gemma_flk_GulfofMexico,,,G
20643gumhon_gummigutta_hon_Caribbean,C,,
18160gutbel_guttavarius_bel_Caribbean,C,,
FL0836gutsan_guttavarius_san_Caribbean,C,,
19076gutbar_guttavarius_bar_Atlantic,,A,
23318gutboc_guttavarius_boc_Caribbean,C,,
PL17_68gutpri_guttavarius_pri_Atlantic,,A,
20069gutbel_guttavarius_bel_Caribbean,C,,
29213indqui_indigo_qui_Caribbean,C,,
20757indhon_indigo_hon_Caribbean,C,,
PL17_35indpri_indigo_pri_Atlantic,,A,
PL17_98indbel_indigo_bel_Caribbean,C,,
PL17_111indbel_indigo_bel_Caribbean,C,,
HypoHaiti2libhai_liberte_hai_Atlantic,,A,
PL17_124maybel_maya_bel_Caribbean,C,,
18159nigbel_nigricans_bel_Caribbean,C,,
18158nigbel_nigricans_bel_Caribbean,C,,
18165nigbel_nigricans_bel_Caribbean,C,,
PL17_149nigflk_nigricans_flk_GulfofMexico,,,G
29137nigqui_nigricans_qui_Caribbean,C,,
18909nigboc_nigricans_boc_Caribbean,C,,
20610nighon_nigricans_hon_Caribbean,C,,
19150niggun_nigricans_gun_Caribbean,C,,
20609nighon_nigricans_hon_Caribbean,C,,
19131niggun_nigricans_gun_Caribbean,C,,
19105niggun_nigricans_gun_Caribbean,C,,
20606nighon_nigricans_hon_Caribbean,C,,
20604nighon_nigricans_hon_Caribbean,C,,
20607nighon_nigricans_hon_Caribbean,C,,
20605nighon_nigricans_hon_Caribbean,C,,
20599nighon_nigricans_hon_Caribbean,C,,
20602nighon_nigricans_hon_Caribbean,C,,
20600nighon_nigricans_hon_Caribbean,C,,
20608nighon_nigricans_hon_Caribbean,C,,
20846prohon_providencianus_hon_Caribbean,C,,
13310puequi_puella_qui_Caribbean,C,,
20556puehon_puella_hon_Caribbean,C,,
20625puehon_puella_hon_Caribbean,C,,
PL17_139pueflk_puella_flk_GulfofMexico,,,G
62953puearc_puella_arc_GulfofMexico,,,G
20554puehon_puella_hon_Caribbean,C,,
PL17_157pueflk_puella_flk_GulfofMexico,,,G
20559puehon_puella_hon_Caribbean,C,,
PL17_60puepri_puella_pri_Atlantic,,A,
PL17_53puepri_puella_pri_Atlantic,,A,
PL17_57puepri_puella_pri_Atlantic,,A,
PL17_54puepri_puella_pri_Atlantic,,A,
19428puebar_puella_bar_Atlantic,,A,
PL17_65puepri_puella_pri_Atlantic,,A,
19427puebar_puella_bar_Atlantic,,A,
PL17_82puepri_puella_pri_Atlantic,,A,
PL17_69puepri_puella_pri_Atlantic,,A,
PL17_155pueflk_puella_flk_GulfofMexico,,,G
18154puebel_puella_bel_Caribbean,C,,
28939puequi_puella_qui_Caribbean,C,,
18178puebel_puella_bel_Caribbean,C,,
18180puebel_puella_bel_Caribbean,C,,
18161puebel_puella_bel_Caribbean,C,,
19108puegun_puella_gun_Caribbean,C,,
20635puehon_puella_hon_Caribbean,C,,
19106puegun_puella_gun_Caribbean,C,,
18430pueboc_puella_boc_Caribbean,C,,
18422pueboc_puella_boc_Caribbean,C,,
18912pueboc_puella_boc_Caribbean,C,,
18429pueboc_puella_boc_Caribbean,C,,
18917pueboc_puella_boc_Caribbean,C,,
18419pueboc_puella_boc_Caribbean,C,,
20558puehon_puella_hon_Caribbean,C,,
PL17_159pueflk_puella_flk_GulfofMexico,,,G
18179puebel_puella_bel_Caribbean,C,,
28713puequi_puella_qui_Caribbean,C,,
20633puehon_puella_hon_Caribbean,C,,
20638puehon_puella_hon_Caribbean,C,,
20555puehon_puella_hon_Caribbean,C,,
20551puehon_puella_hon_Caribbean,C,,
18172puebel_puella_bel_Caribbean,C,,
Ross3pueare_puella_are_GulfofMexico,,,G
62577puearc_puella_arc_GulfofMexico,,,G
62948puearc_puella_arc_GulfofMexico,,,G
20893ranhon_randallorum_hon_Caribbean,C,,
20923ranhon_randallorum_hon_Caribbean,C,,
FL0880ransan_randallorum_san_Caribbean,C,,
20892ranhon_randallorum_hon_Caribbean,C,,
20696ranhon_randallorum_hon_Caribbean,C,,
20896ranhon_randallorum_hon_Caribbean,C,,
PL17_125ranbel_randallorum_bel_Caribbean,C,,
20421ranhon_randallorum_hon_Caribbean,C,,
62575ranarc_randallorum_arc_GulfofMexico,,,G
PL17_71tanpri_tan_pri_Atlantic,,A,
PL17_56tanpri_tan_pri_Atlantic,,A,
PL17_76tanpri_tan_pri_Atlantic,,A,
FL0324tanpri_tan_pri_Atlantic,,A,
PL17_23tanpri_tan_pri_Atlantic,,A,
PL17_72tanpri_tan_pri_Atlantic,,A,
20149unibel_unicolor_bel_Caribbean,C,,
20128unibel_unicolor_bel_Caribbean,C,,
18446uniboc_unicolor_boc_Caribbean,C,,
13318uniqui_unicolor_qui_Caribbean,C,,
27707uniqui_unicolor_qui_Caribbean,C,,
18163unibel_unicolor_bel_Caribbean,C,,
PL17_67unipri_unicolor_pri_Atlantic,,A,
PL17_63unipri_unicolor_pri_Atlantic,,A,
PL17_70unipri_unicolor_pri_Atlantic,,A,
PL17_73unipri_unicolor_pri_Atlantic,,A,
PL17_74unipri_unicolor_pri_Atlantic,,A,
20562unihon_unicolor_hon_Caribbean,C,,
18276unibel_unicolor_bel_Caribbean,C,,
20567unihon_unicolor_hon_Caribbean,C,,
18267unibel_unicolor_bel_Caribbean,C,,
20561unihon_unicolor_hon_Caribbean,C,,
20563unihon_unicolor_hon_Caribbean,C,,
20564unihon_unicolor_hon_Caribbean,C,,
20571unihon_unicolor_hon_Caribbean,C,,
18261unibel_unicolor_bel_Caribbean,C,,
20572unihon_unicolor_hon_Caribbean,C,,
18445uniboc_unicolor_boc_Caribbean,C,,
20120unibel_unicolor_bel_Caribbean,C,,
20126unibel_unicolor_bel_Caribbean,C,,
27709uniqui_unicolor_qui_Caribbean,C,,
18454uniboc_unicolor_boc_Caribbean,C,,
20135unibel_unicolor_bel_Caribbean,C,,
PL17_136uniflk_unicolor_flk_GulfofMexico,,,G
PL17_141uniflk_unicolor_flk_GulfofMexico,,,G
PL17_143uniflk_unicolor_flk_GulfofMexico,,,G
PL17_138uniflk_unicolor_flk_GulfofMexico,,,G
