"","non","C","A","G","X","X1","X2","X3","node"
"170",0,9.83161919517679e-09,1.57183367648674e-13,0.999999990168215,7.36693361266677e-16,3.63252606052277e-15,4.29762999878373e-15,1.32255749808672e-29,170
"171",0,2.54240816572952e-17,2.54238943732819e-17,1,5.19055662210105e-24,1.15423409708822e-21,1.25007731630925e-21,2.95436066747706e-37,171
"172",0,7.27794310738349e-18,7.27794053751226e-18,1,5.92542386082049e-26,7.28613580453499e-24,7.28613606170626e-24,1.53280042129482e-42,172
"173",0,6.86524188731614e-19,6.86524182487014e-19,1,1.04300115734292e-28,3.17083679774309e-26,3.17083679701741e-26,3.51626222501341e-47,173
"174",0,8.92952804717624e-18,8.92952804513036e-18,1,4.12652225584949e-29,4.35531147688806e-22,4.35531147686294e-22,6.31323570026927e-42,174
"175",0,7.07965675215192e-18,7.07965675052988e-18,1,4.05955810625892e-29,1.56622312199505e-25,1.56622312198601e-25,2.26808404960771e-47,175
"176",0,7.13183133409466e-18,7.13183133405353e-18,1,1.07500971956148e-30,9.2779828620786e-25,9.27798286207725e-25,2.26774055714921e-47,176
"177",0,1.25116043022363e-17,1.25116043022345e-17,1,9.10759303691287e-32,1.23407898864292e-22,1.23407898864291e-22,3.21559622358141e-44,177
"178",0,1.96632381947668e-08,3.14163842384408e-13,0.999999980336447,1.83464819249454e-16,3.32075998540124e-22,1.0710286198308e-20,2.03334265710754e-38,178
"179",0,4.10214472960404e-07,6.55353127590873e-12,0.999999589778973,4.86102287703599e-17,3.21919142049099e-24,4.00068193677063e-20,7.26551074719599e-43,179
"180",0,1.59244736422175e-05,2.54406766866674e-10,0.999984075271951,3.72958651579487e-17,5.08767614059435e-25,2.88464267331462e-20,4.55819087558915e-46,180
"181",0,8.00474015770977e-18,7.82287284419673e-18,1,4.31210946181279e-29,2.90483155041087e-22,2.90317455684988e-22,1.9536424048374e-42,181
"182",0,7.21329826535664e-18,7.20907667573929e-18,1,9.24340329309584e-31,5.01672081707178e-22,5.0166468623168e-22,6.50325138126035e-43,182
"183",0,0.000632212882913704,1.01001296589954e-08,0.999367777016957,2.54417233945212e-17,8.02518137055874e-23,4.9984374870833e-18,6.43025802959943e-46,183
"184",0,0.0251136556394713,4.0121164271368e-07,0.974885943148886,1.30678036427039e-17,2.25494144710075e-22,1.40713906399706e-17,2.15063324048252e-49,184
