,non,C,A,G,X,X1,X2,X3,node,tip,Species
1,0,0,0,1,0,0,0,0,1,62559floarc_floridae_arc_GulfofMexico,floridae
2,0,0,0,1,0,0,0,0,2,62558floarc_floridae_arc_GulfofMexico,floridae
3,0,0,0,1,0,0,0,0,3,62549ecoarc_ecosur_arc_GulfofMexico,ecosur
4,0,0,0,1,0,0,0,0,4,62560floarc_floridae_arc_GulfofMexico,floridae
5,0,0,0,1,0,0,0,0,5,62556ecoarc_ecosur_arc_GulfofMexico,ecosur
6,0,0,0,1,0,0,0,0,6,62576ecoarc_ecosur_arc_GulfofMexico,ecosur
7,0,0,0,1,0,0,0,0,7,54689atlliz_atlahua_liz_GulfofMexico,atlahua
8,0,0,0,1,0,0,0,0,8,PL17_160floflk_floridae_flk_GulfofMexico,floridae
9,0,0,0,1,0,0,0,0,9,54650casliz_castroaguirrei_liz_GulfofMexico,castroaguirrei
10,0,0,0,1,0,0,0,0,10,PL17_153gemflk_gemma_flk_GulfofMexico,gemma
11,0,0,0,1,0,0,0,0,11,PL17_138uniflk_unicolor_flk_GulfofMexico,unicolor
12,0,0,0,1,0,0,0,0,12,62948puearc_puella_arc_GulfofMexico,puella
13,0,0,0,1,0,0,0,0,13,Ross2abeare_aberrans_are_GulfofMexico,aberrans
14,0,0,0,1,0,0,0,0,14,PL17_143uniflk_unicolor_flk_GulfofMexico,unicolor
15,0,0,0,1,0,0,0,0,15,62552abearc_aberrans_arc_GulfofMexico,aberrans
16,0,0,0,1,0,0,0,0,16,62575ranarc_randallorum_arc_GulfofMexico,randallorum
17,0,0,0,1,0,0,0,0,17,62515gemarc_gemma_arc_GulfofMexico,gemma
18,0,0,0,1,0,0,0,0,18,62577puearc_puella_arc_GulfofMexico,puella
19,0,0,0,1,0,0,0,0,19,Ross1gemare_gemma_are_GulfofMexico,gemma
20,0,0,0,1,0,0,0,0,20,Ross3pueare_puella_are_GulfofMexico,puella
21,0,0,0,1,0,0,0,0,21,PL17_141uniflk_unicolor_flk_GulfofMexico,unicolor
22,0,1,0,0,0,0,0,0,22,20135unibel_unicolor_bel_Caribbean,unicolor
23,0,0,0,1,0,0,0,0,23,PL17_136uniflk_unicolor_flk_GulfofMexico,unicolor
24,0,1,0,0,0,0,0,0,24,18446uniboc_unicolor_boc_Caribbean,unicolor
25,0,0,0,1,0,0,0,0,25,62585esparc_espinozaperezei_arc_GulfofMexico,espinozaperezei
26,0,1,0,0,0,0,0,0,26,20128unibel_unicolor_bel_Caribbean,unicolor
27,0,1,0,0,0,0,0,0,27,13310puequi_puella_qui_Caribbean,puella
28,0,1,0,0,0,0,0,0,28,20149unibel_unicolor_bel_Caribbean,unicolor
29,0,1,0,0,0,0,0,0,29,PL17_88abebel_aberrans_bel_Caribbean,aberrans
30,0,0,0,1,0,0,0,0,30,62953puearc_puella_arc_GulfofMexico,puella
31,0,1,0,0,0,0,0,0,31,20556puehon_puella_hon_Caribbean,puella
32,0,1,0,0,0,0,0,0,32,20625puehon_puella_hon_Caribbean,puella
33,0,0,0,1,0,0,0,0,33,PL17_139pueflk_puella_flk_GulfofMexico,puella
34,0,0,0,1,0,0,0,0,34,PL17_157pueflk_puella_flk_GulfofMexico,puella
35,0,1,0,0,0,0,0,0,35,18163unibel_unicolor_bel_Caribbean,unicolor
36,0,1,0,0,0,0,0,0,36,20554puehon_puella_hon_Caribbean,puella
37,0,1,0,0,0,0,0,0,37,13318uniqui_unicolor_qui_Caribbean,unicolor
38,0,1,0,0,0,0,0,0,38,20762abehon_aberrans_hon_Caribbean,aberrans
39,0,1,0,0,0,0,0,0,39,20893ranhon_randallorum_hon_Caribbean,randallorum
40,0,1,0,0,0,0,0,0,40,27707uniqui_unicolor_qui_Caribbean,unicolor
41,0,1,0,0,0,0,0,0,41,18160gutbel_guttavarius_bel_Caribbean,guttavarius
42,0,1,0,0,0,0,0,0,42,20923ranhon_randallorum_hon_Caribbean,randallorum
43,0,1,0,0,0,0,0,0,43,20643gumhon_gummigutta_hon_Caribbean,gummigutta
44,0,1,0,0,0,0,0,0,44,FL0836gutsan_guttavarius_san_Caribbean,guttavarius
45,0,1,0,0,0,0,0,0,45,20069gutbel_guttavarius_bel_Caribbean,guttavarius
46,0,0,1,0,0,0,0,0,46,PL17_68gutpri_guttavarius_pri_Atlantic,guttavarius
47,0,0,1,0,0,0,0,0,47,19076gutbar_guttavarius_bar_Atlantic,guttavarius
48,0,1,0,0,0,0,0,0,48,23318gutboc_guttavarius_boc_Caribbean,guttavarius
49,0,1,0,0,0,0,0,0,49,20864abehon_aberrans_hon_Caribbean,aberrans
50,0,1,0,0,0,0,0,0,50,20846prohon_providencianus_hon_Caribbean,providencianus
51,0,1,0,0,0,0,0,0,51,20866abehon_aberrans_hon_Caribbean,aberrans
52,0,1,0,0,0,0,0,0,52,20559puehon_puella_hon_Caribbean,puella
53,0,0,1,0,0,0,0,0,53,PL17_71tanpri_tan_pri_Atlantic,tan
54,0,1,0,0,0,0,0,0,54,20761abehon_aberrans_hon_Caribbean,aberrans
55,0,1,0,0,0,0,0,0,55,FL0880ransan_randallorum_san_Caribbean,randallorum
56,0,0,1,0,0,0,0,0,56,PL17_70unipri_unicolor_pri_Atlantic,unicolor
57,0,0,1,0,0,0,0,0,57,PL17_44chlpri_chlorurus_pri_Atlantic,chlorurus
58,0,0,1,0,0,0,0,0,58,PL17_63unipri_unicolor_pri_Atlantic,unicolor
59,0,0,1,0,0,0,0,0,59,PL17_73unipri_unicolor_pri_Atlantic,unicolor
60,0,0,1,0,0,0,0,0,60,PL17_69puepri_puella_pri_Atlantic,puella
61,0,0,1,0,0,0,0,0,61,PL17_74unipri_unicolor_pri_Atlantic,unicolor
62,0,0,1,0,0,0,0,0,62,19425chlbar_chlorurus_bar_Atlantic,chlorurus
63,0,0,1,0,0,0,0,0,63,PL17_67unipri_unicolor_pri_Atlantic,unicolor
64,0,0,1,0,0,0,0,0,64,19428puebar_puella_bar_Atlantic,puella
65,0,0,1,0,0,0,0,0,65,19435chlbar_chlorurus_bar_Atlantic,chlorurus
66,0,0,1,0,0,0,0,0,66,PL17_65puepri_puella_pri_Atlantic,puella
67,0,0,1,0,0,0,0,0,67,PL17_82puepri_puella_pri_Atlantic,puella
