,non,C,A,G,X,X1,X2,X3,node,tip,Species
1,0,0,0,1,0,0,0,0,1,62559floarc_floridae_arc_GulfofMexico,floridae
2,0,0,0,1,0,0,0,0,2,54650casliz_castroaguirrei_liz_GulfofMexico,castroaguirrei
3,0,0,0,1,0,0,0,0,3,PL17_153gemflk_gemma_flk_GulfofMexico,gemma
4,0,0,0,1,0,0,0,0,4,PL17_138uniflk_unicolor_flk_GulfofMexico,unicolor
5,0,0,0,1,0,0,0,0,5,PL17_143uniflk_unicolor_flk_GulfofMexico,unicolor
6,0,0,0,1,0,0,0,0,6,62552abearc_aberrans_arc_GulfofMexico,aberrans
7,0,0,0,1,0,0,0,0,7,Ross3pueare_puella_are_GulfofMexico,puella
8,0,0,0,1,0,0,0,0,8,PL17_141uniflk_unicolor_flk_GulfofMexico,unicolor
9,0,1,0,0,0,0,0,0,9,20135unibel_unicolor_bel_Caribbean,unicolor
10,0,0,0,1,0,0,0,0,10,PL17_136uniflk_unicolor_flk_GulfofMexico,unicolor
11,0,1,0,0,0,0,0,0,11,20128unibel_unicolor_bel_Caribbean,unicolor
12,0,1,0,0,0,0,0,0,12,18446uniboc_unicolor_boc_Caribbean,unicolor
13,0,0,0,1,0,0,0,0,13,62585esparc_espinozaperezei_arc_GulfofMexico,espinozaperezei
14,0,1,0,0,0,0,0,0,14,PL17_88abebel_aberrans_bel_Caribbean,aberrans
15,0,0,0,1,0,0,0,0,15,62953puearc_puella_arc_GulfofMexico,puella
16,0,1,0,0,0,0,0,0,16,20556puehon_puella_hon_Caribbean,puella
17,0,1,0,0,0,0,0,0,17,20625puehon_puella_hon_Caribbean,puella
18,0,0,0,1,0,0,0,0,18,PL17_139pueflk_puella_flk_GulfofMexico,puella
19,0,0,1,0,0,0,0,0,19,PL17_74unipri_unicolor_pri_Atlantic,unicolor
20,0,1,0,0,0,0,0,0,20,20866abehon_aberrans_hon_Caribbean,aberrans
21,0,1,0,0,0,0,0,0,21,FL0880ransan_randallorum_san_Caribbean,randallorum
22,0,1,0,0,0,0,0,0,22,20559puehon_puella_hon_Caribbean,puella
23,0,0,1,0,0,0,0,0,23,PL17_71tanpri_tan_pri_Atlantic,tan
24,0,1,0,0,0,0,0,0,24,27707uniqui_unicolor_qui_Caribbean,unicolor
25,0,1,0,0,0,0,0,0,25,20554puehon_puella_hon_Caribbean,puella
26,0,0,0,1,0,0,0,0,26,PL17_157pueflk_puella_flk_GulfofMexico,puella
27,0,1,0,0,0,0,0,0,27,20923ranhon_randallorum_hon_Caribbean,randallorum
28,0,1,0,0,0,0,0,0,28,20643gumhon_gummigutta_hon_Caribbean,gummigutta
29,0,1,0,0,0,0,0,0,29,FL0836gutsan_guttavarius_san_Caribbean,guttavarius
30,0,1,0,0,0,0,0,0,30,20069gutbel_guttavarius_bel_Caribbean,guttavarius
31,0,0,1,0,0,0,0,0,31,PL17_68gutpri_guttavarius_pri_Atlantic,guttavarius
32,0,0,1,0,0,0,0,0,32,19076gutbar_guttavarius_bar_Atlantic,guttavarius
33,0,1,0,0,0,0,0,0,33,23318gutboc_guttavarius_boc_Caribbean,guttavarius
34,0,1,0,0,0,0,0,0,34,20605nighon_nigricans_hon_Caribbean,nigricans
35,0,1,0,0,0,0,0,0,35,18454uniboc_unicolor_boc_Caribbean,unicolor
36,0,1,0,0,0,0,0,0,36,19519affgun_affinis_gun_Caribbean,affinis
37,0,1,0,0,0,0,0,0,37,20604nighon_nigricans_hon_Caribbean,nigricans
38,0,1,0,0,0,0,0,0,38,20571unihon_unicolor_hon_Caribbean,unicolor
39,0,1,0,0,0,0,0,0,39,20607nighon_nigricans_hon_Caribbean,nigricans
40,0,1,0,0,0,0,0,0,40,20558puehon_puella_hon_Caribbean,puella
41,0,0,0,1,0,0,0,0,41,PL17_159pueflk_puella_flk_GulfofMexico,puella
42,0,1,0,0,0,0,0,0,42,23322affboc_affinis_boc_Caribbean,affinis
43,0,1,0,0,0,0,0,0,43,29137nigqui_nigricans_qui_Caribbean,nigricans
44,0,1,0,0,0,0,0,0,44,18158nigbel_nigricans_bel_Caribbean,nigricans
45,0,1,0,0,0,0,0,0,45,18165nigbel_nigricans_bel_Caribbean,nigricans
46,0,0,0,1,0,0,0,0,46,PL17_149nigflk_nigricans_flk_GulfofMexico,nigricans
47,0,1,0,0,0,0,0,0,47,PL17_124maybel_maya_bel_Caribbean,maya
48,0,1,0,0,0,0,0,0,48,20892ranhon_randallorum_hon_Caribbean,randallorum
49,0,1,0,0,0,0,0,0,49,20567unihon_unicolor_hon_Caribbean,unicolor
50,0,0,1,0,0,0,0,0,50,HypoHaiti2libhai_liberte_hai_Atlantic,liberte
51,0,1,0,0,0,0,0,0,51,20562unihon_unicolor_hon_Caribbean,unicolor
52,0,1,0,0,0,0,0,0,52,18492abebel_aberrans_bel_Caribbean,aberrans
53,0,1,0,0,0,0,0,0,53,PL17_111indbel_indigo_bel_Caribbean,indigo
54,0,0,0,1,0,0,0,0,54,PL17_155pueflk_puella_flk_GulfofMexico,puella
55,0,1,0,0,0,0,0,0,55,PL17_98indbel_indigo_bel_Caribbean,indigo
56,0,1,0,0,0,0,0,0,56,29213indqui_indigo_qui_Caribbean,indigo
57,0,1,0,0,0,0,0,0,57,20757indhon_indigo_hon_Caribbean,indigo
58,0,0,1,0,0,0,0,0,58,PL17_35indpri_indigo_pri_Atlantic,indigo
