,non,C,A,G,X,X1,X2,X3,node,tip,Species
1,0,0,0,1,0,0,0,0,1,62559floarc_floridae_arc_GulfofMexico,floridae
2,0,0,0,1,0,0,0,0,2,54650casliz_castroaguirrei_liz_GulfofMexico,castroaguirrei
3,0,0,0,1,0,0,0,0,3,PL17_153gemflk_gemma_flk_GulfofMexico,gemma
4,0,0,0,1,0,0,0,0,4,PL17_138uniflk_unicolor_flk_GulfofMexico,unicolor
5,0,0,0,1,0,0,0,0,5,PL17_143uniflk_unicolor_flk_GulfofMexico,unicolor
6,0,0,0,1,0,0,0,0,6,62552abearc_aberrans_arc_GulfofMexico,aberrans
7,0,0,0,1,0,0,0,0,7,Ross3pueare_puella_are_GulfofMexico,puella
8,0,0,0,1,0,0,0,0,8,PL17_141uniflk_unicolor_flk_GulfofMexico,unicolor
9,0,1,0,0,0,0,0,0,9,20135unibel_unicolor_bel_Caribbean,unicolor
10,0,0,0,1,0,0,0,0,10,PL17_136uniflk_unicolor_flk_GulfofMexico,unicolor
11,0,1,0,0,0,0,0,0,11,20128unibel_unicolor_bel_Caribbean,unicolor
12,0,1,0,0,0,0,0,0,12,18446uniboc_unicolor_boc_Caribbean,unicolor
13,0,0,0,1,0,0,0,0,13,62585esparc_espinozaperezei_arc_GulfofMexico,espinozaperezei
14,0,1,0,0,0,0,0,0,14,PL17_88abebel_aberrans_bel_Caribbean,aberrans
15,0,0,0,1,0,0,0,0,15,62953puearc_puella_arc_GulfofMexico,puella
16,0,1,0,0,0,0,0,0,16,20556puehon_puella_hon_Caribbean,puella
17,0,1,0,0,0,0,0,0,17,20625puehon_puella_hon_Caribbean,puella
18,0,0,0,1,0,0,0,0,18,PL17_139pueflk_puella_flk_GulfofMexico,puella
19,0,0,1,0,0,0,0,0,19,PL17_74unipri_unicolor_pri_Atlantic,unicolor
20,0,1,0,0,0,0,0,0,20,20866abehon_aberrans_hon_Caribbean,aberrans
21,0,1,0,0,0,0,0,0,21,FL0880ransan_randallorum_san_Caribbean,randallorum
22,0,1,0,0,0,0,0,0,22,20559puehon_puella_hon_Caribbean,puella
23,0,0,1,0,0,0,0,0,23,PL17_71tanpri_tan_pri_Atlantic,tan
24,0,1,0,0,0,0,0,0,24,27707uniqui_unicolor_qui_Caribbean,unicolor
25,0,1,0,0,0,0,0,0,25,20554puehon_puella_hon_Caribbean,puella
26,0,0,0,1,0,0,0,0,26,PL17_157pueflk_puella_flk_GulfofMexico,puella
27,0,1,0,0,0,0,0,0,27,20923ranhon_randallorum_hon_Caribbean,randallorum
28,0,1,0,0,0,0,0,0,28,20643gumhon_gummigutta_hon_Caribbean,gummigutta
29,0,1,0,0,0,0,0,0,29,FL0836gutsan_guttavarius_san_Caribbean,guttavarius
30,0,1,0,0,0,0,0,0,30,20069gutbel_guttavarius_bel_Caribbean,guttavarius
