run_nr	geo	spec_1	spec_2	contrast_nr	samples_1	samples_2
1	gom	abe	atl	1	62551abearc, 62552abearc	54689atlliz, 54786atlliz
2	gom	abe	atl	2	Ross2abeare, 62550abearc	52990atltam, 54761atlliz
3	gom	abe	cas	3	Ross2abeare, 62550abearc	54650casliz, 54649casliz
4	gom	atl	cas	4	52990atltam, 54761atlliz	54650casliz, 54649casliz
5	gom	abe	eco	5	Ross2abeare, 62550abearc	62549ecoarc, 62576ecoarc
6	gom	atl	eco	6	52988atltam, 52989atltam	62549ecoarc, 62576ecoarc
7	gom	cas	eco	7	54650casliz, 54649casliz	62549ecoarc, 62576ecoarc
8	gom	abe	esp	8	Ross2abeare, 62550abearc	62555esparc, 62585esparc
9	gom	atl	esp	9	54689atlliz, 54786atlliz	62555esparc, 62585esparc
10	gom	cas	esp	10	54650casliz, 54649casliz	62555esparc, 62585esparc
11	gom	eco	esp	11	62549ecoarc, 62576ecoarc	62555esparc, 62585esparc
12	gom	abe	flo	12	62551abearc, 62552abearc	62559floarc, 62558floarc
13	gom	abe	flo	13	Ross2abeare, 62550abearc	PL17_160floflk, 62560floarc
14	gom	atl	flo	14	52990atltam, 54761atlliz	PL17_160floflk, 62560floarc
15	gom	atl	flo	15	54689atlliz, 54786atlliz	62559floarc, 62558floarc
16	gom	cas	flo	16	54650casliz, 54649casliz	PL17_160floflk, 62560floarc
17	gom	eco	flo	17	62549ecoarc, 62576ecoarc	PL17_160floflk, 62560floarc
18	gom	esp	flo	18	62555esparc, 62585esparc	PL17_160floflk, 62560floarc
19	gom	abe	gem	19	Ross2abeare, 62550abearc	62570gemarc, PL17_145gemflk
20	gom	abe	gem	20	62551abearc, 62552abearc	62553gemarc, PL17_142gemflk
21	gom	atl	gem	21	27936atltam, 54849atlliz	Ross1gemare, PL17_153gemflk
22	gom	atl	gem	22	54689atlliz, 54786atlliz	62570gemarc, PL17_145gemflk
23	gom	atl	gem	23	52990atltam, 54761atlliz	62515gemarc, PL17_144gemflk
24	gom	atl	gem	24	52988atltam, 52989atltam	62553gemarc, PL17_142gemflk
25	gom	cas	gem	25	54650casliz, 54649casliz	62515gemarc, PL17_144gemflk
26	gom	eco	gem	26	62549ecoarc, 62576ecoarc	62553gemarc, PL17_142gemflk
27	gom	esp	gem	27	62555esparc, 62585esparc	62553gemarc, PL17_142gemflk
28	gom	flo	gem	28	PL17_160floflk, 62560floarc	62515gemarc, PL17_144gemflk
29	gom	flo	gem	29	62559floarc, 62558floarc	Ross1gemare, PL17_153gemflk
30	gom	abe	pue	30	Ross2abeare, 62550abearc	62953puearc, PL17_139pueflk
31	gom	abe	pue	31	62551abearc, 62552abearc	62948puearc, 62263pueala
32	gom	atl	pue	32	54689atlliz, 54786atlliz	PL17_157pueflk, 62264pueala
33	gom	atl	pue	33	52988atltam, 52989atltam	Ross3pueare, PL17_159pueflk
34	gom	atl	pue	34	27936atltam, 54849atlliz	62953puearc, PL17_139pueflk
35	gom	atl	pue	35	52990atltam, 54761atlliz	PL17_155pueflk, 62577puearc
36	gom	cas	pue	36	54650casliz, 54649casliz	62948puearc, 62263pueala
37	gom	eco	pue	37	62549ecoarc, 62576ecoarc	PL17_155pueflk, 62577puearc
38	gom	esp	pue	38	62555esparc, 62585esparc	Ross3pueare, PL17_159pueflk
39	gom	flo	pue	39	62559floarc, 62558floarc	PL17_155pueflk, 62577puearc
40	gom	flo	pue	40	PL17_160floflk, 62560floarc	62948puearc, 62263pueala
41	gom	gem	pue	41	Ross1gemare, PL17_153gemflk	Ross3pueare, PL17_159pueflk
42	gom	gem	pue	42	62570gemarc, PL17_145gemflk	62953puearc, PL17_139pueflk
43	gom	gem	pue	43	62553gemarc, PL17_142gemflk	62948puearc, 62263pueala
44	gom	gem	pue	44	62515gemarc, PL17_144gemflk	PL17_157pueflk, 62264pueala
45	gom	abe	ran	45	Ross2abeare, 62550abearc	62562ranarc, 62575ranarc
46	gom	atl	ran	46	27936atltam, 54849atlliz	62562ranarc, 62575ranarc
47	gom	cas	ran	47	54650casliz, 54649casliz	62562ranarc, 62575ranarc
48	gom	eco	ran	48	62549ecoarc, 62576ecoarc	62562ranarc, 62575ranarc
49	gom	esp	ran	49	62555esparc, 62585esparc	62562ranarc, 62575ranarc
50	gom	flo	ran	50	62559floarc, 62558floarc	62562ranarc, 62575ranarc
51	gom	gem	ran	51	62515gemarc, PL17_144gemflk	62562ranarc, 62575ranarc
52	gom	pue	ran	52	62948puearc, 62263pueala	62562ranarc, 62575ranarc
53	gom	abe	uni	53	62551abearc, 62552abearc	PL17_134uniflk, PL17_138uniflk
54	gom	abe	uni	54	Ross2abeare, 62550abearc	PL17_137uniflk, PL17_140uniflk
55	gom	atl	uni	55	54689atlliz, 54786atlliz	PL17_141uniflk, PL17_143uniflk
56	gom	atl	uni	56	27936atltam, 54849atlliz	PL17_134uniflk, PL17_138uniflk
57	gom	atl	uni	57	52988atltam, 52989atltam	PL17_137uniflk, PL17_140uniflk
58	gom	atl	uni	58	52990atltam, 54761atlliz	PL17_135uniflk, PL17_136uniflk
59	gom	cas	uni	59	54650casliz, 54649casliz	PL17_135uniflk, PL17_136uniflk
60	gom	eco	uni	60	62549ecoarc, 62576ecoarc	PL17_134uniflk, PL17_138uniflk
61	gom	esp	uni	61	62555esparc, 62585esparc	PL17_135uniflk, PL17_136uniflk
62	gom	flo	uni	62	PL17_160floflk, 62560floarc	PL17_137uniflk, PL17_140uniflk
63	gom	flo	uni	63	62559floarc, 62558floarc	PL17_141uniflk, PL17_143uniflk
64	gom	gem	uni	64	62553gemarc, PL17_142gemflk	PL17_141uniflk, PL17_143uniflk
65	gom	gem	uni	65	62515gemarc, PL17_144gemflk	PL17_135uniflk, PL17_136uniflk
66	gom	gem	uni	66	Ross1gemare, PL17_153gemflk	PL17_137uniflk, PL17_140uniflk
67	gom	gem	uni	67	62570gemarc, PL17_145gemflk	PL17_134uniflk, PL17_138uniflk
68	gom	pue	uni	68	62948puearc, 62263pueala	PL17_134uniflk, PL17_138uniflk
69	gom	pue	uni	69	PL17_155pueflk, 62577puearc	PL17_137uniflk, PL17_140uniflk
70	gom	pue	uni	70	62953puearc, PL17_139pueflk	PL17_135uniflk, PL17_136uniflk
71	gom	pue	uni	71	PL17_157pueflk, 62264pueala	PL17_141uniflk, PL17_143uniflk
72	gom	ran	uni	72	62562ranarc, 62575ranarc	PL17_141uniflk, PL17_143uniflk
