SampleID	Species	Location	Sample	Date	Latitude	Longitude	Accession
18263	H. aberrans	Belize	18263abebel	2004-07-24	NA	NA	NA
18492	H. aberrans	Belize	18492abebel	2004-07-24	16.89389	-88.05806	NA
18493	H. aberrans	Belize	18493abebel	2004-07-24	NA	NA	NA
PL17_88	H. aberrans	Belize	PL17_88abebel	2017-07-04	16.65361	-88.20097	ERS14948398
18452	H. aberrans	Bocas del Toro, Panama	18452abeboc	2004-07-02	9.33083	-82.21444	NA
18471	H. aberrans	Bocas del Toro, Panama	18471abeboc	2004-07-10	9.3775	-82.30389	NA
28389	H. aberrans	Bocas del Toro, Panama	28389abeboc	2017-02-06	9.3181	-82.2218	ERS8632036
62550	H. aberrans	Cayo Arcas, Mexico	62550abearc	NA	NA	NA	NA
62551	H. aberrans	Cayo Arcas, Mexico	62551abearc	NA	NA	NA	NA
62552	H. aberrans	Cayo Arcas, Mexico	62552abearc	NA	NA	NA	NA
Ross2	H. aberrans	Cayo Arenas, Mexico	Ross2abeare	NA	NA	NA	NA
18949	H. aberrans	Guna Yala, Panama	18949abegun	2005-05-04	9.54875	-78.95061	NA
19546	H. aberrans	Guna Yala, Panama	19546abegun	2005-05-14	9.29072	-78.14039	NA
19708	H. aberrans	Guna Yala, Panama	19708abegun	2005-05-06	9.54875	-78.95061	NA
20425	H. aberrans	Honduras	20425abehon	2006-06-03	16.03	-83.32861	ERS4141245
20433	H. aberrans	Honduras	20433abehon	2006-06-04	15.95583	-83.29306	ERS4141251
20644	H. aberrans	Honduras	20644abehon	2006-06-05	15.95583	-83.29306	ERS4141259
20759	H. aberrans	Honduras	20759abehon	2006-06-06	15.25	-82.61667	ERS4141261
20761	H. aberrans	Honduras	20761abehon	2006-06-06	15.25	-82.61667	ERS4141262
20762	H. aberrans	Honduras	20762abehon	2006-06-06	15.25	-82.61667	ERS4141263
20861	H. aberrans	Honduras	20861abehon	2006-06-07	15.25	-82.61667	ERS4141264
20862	H. aberrans	Honduras	20862abehon	2006-06-07	15.25	-82.61667	ERS4141265
