
#####

parameters of model using neural_network (upper lines) and random_forest (lower lines): IM_1M_1N
param	HPD2.5%	median	HPD%97.5
N1	23927.1691924369	25844.4604553336	27937.1552248653
N1	22730	24195.5961666667	26297.5
N2	22356.1908596663	25450.8341419662	29125.2111554761
N2	23645.6590909091	29340.9851666667	35357.0833333333
Na	333636.771797499	367291.156795942	400161.442331275
Na	267558.970588235	360768.409083333	457391.577319588
Tsplit	294032.122444967	309710.962519607	331577.438193589
Tsplit	288670	350824.764333333	434258.333333333
M12	1.59675056077972	1.94930576984697	2.26742957032691
M12	1.31118048387097	1.915921954	2.41926851851852
M21	47.267536623876	52.7970817349648	58.7271102185026
M21	43.5647348611111	50.7288590901667	60.5056983146067
