Sample node,Individual,Clade,gulf,carib,out
0,13310puequi,carib,0.015304563461511959,0.9846954365384382,0.0
1,13310puequi,carib,0.013337657609686339,0.9866623423902751,0.0
2,13318uniqui,carib,0.015832462633715357,0.9841675373662498,0.0
3,13318uniqui,carib,0.016089724900870284,0.9839102750991231,0.0
4,17996indbel,carib,0.008484129648283429,0.9915158703517062,0.0
5,17996indbel,carib,0.008365922190329743,0.9916340778096578,0.0
6,17997indbel,carib,0.009989880063472225,0.9900101199365097,0.0
7,17997indbel,carib,0.009504677738559938,0.9904953222614389,0.0
8,17998indbel,carib,0.009842517960321632,0.990157482039671,0.0
9,17998indbel,carib,0.01004476388948611,0.9899552361104972,0.0
10,17999indbel,carib,0.008425897203872294,0.9915741027961013,0.0
11,17999indbel,carib,0.010112154142180104,0.9898878458577927,0.0
12,18000indbel,carib,0.008719150447796666,0.991280849552191,0.0
13,18000indbel,carib,0.008720410574667499,0.9912795894253174,0.0
14,18151nigbel,carib,0.015993348302273124,0.9840066516977,0.0
15,18151nigbel,carib,0.01688979602777126,0.9831102039722059,0.0
16,18152puebel,carib,0.015533195587752664,0.9844668044122091,0.0
17,18152puebel,carib,0.015251590894524507,0.9847484091054427,0.0
18,18153nigbel,carib,0.015555368405580172,0.9844446315943928,0.0
19,18153nigbel,carib,0.014346453814936594,0.985653546185037,0.0
20,18154puebel,carib,0.014478476087751642,0.9855215239122225,0.0
21,18154puebel,carib,0.014387652259275595,0.9856123477406933,0.0
22,18155nigbel,carib,0.014685615828600904,0.9853143841713717,0.0
23,18155nigbel,carib,0.014706873394997967,0.9852931266049639,0.0
24,18156nigbel,carib,0.014191282770490261,0.9858087172294809,0.0
25,18156nigbel,carib,0.01661527060945442,0.9833847293905166,0.0
26,18157nigbel,carib,0.015566763993090076,0.9844332360068928,0.0
27,18157nigbel,carib,0.015558422898404662,0.98444157710156,0.0
28,18158nigbel,carib,0.014276540596850722,0.9857234594031091,0.0
29,18158nigbel,carib,0.015684749978198676,0.984315250021753,0.0
30,18159nigbel,carib,0.01570124228564664,0.9842987577143207,0.0
31,18159nigbel,carib,0.014567163238854767,0.9854328367611264,0.0
32,18160gutbel,carib,0.01406647229442198,0.9859335277055633,0.0
33,18160gutbel,carib,0.012866033178541304,0.9871339668214257,0.0
34,18161puebel,carib,0.01503981015634155,0.9849601898436309,0.0
35,18161puebel,carib,0.017843392696976067,0.9821566073030021,0.0
36,18162nigbel,carib,0.013775139447571493,0.9862248605524022,0.0
37,18162nigbel,carib,0.016247846957716205,0.9837521530422534,0.0
38,18163unibel,carib,0.015614050627406426,0.9843859493725611,0.0
39,18163unibel,carib,0.015023217991704285,0.9849767820082727,0.0
40,18165nigbel,carib,0.014759740082797903,0.9852402599171706,0.0
41,18165nigbel,carib,0.013758479068750188,0.9862415209312465,0.0
42,18166puebel,carib,0.013589254942197237,0.9864107450577635,0.0
43,18166puebel,carib,0.013566431516305027,0.9864335684836818,0.0
44,18169puebel,carib,0.017894011907273095,0.9821059880926997,0.0
45,18169puebel,carib,0.016710865693760416,0.9832891343061947,0.0
46,18171nigbel,carib,0.014263384086973288,0.9857366159130069,0.0
47,18171nigbel,carib,0.014380901400824559,0.9856190985991451,0.0
48,18172puebel,carib,0.015549095070013353,0.9844509049299704,0.0
49,18172puebel,carib,0.014254531002854218,0.9857454689971088,0.0
50,18174puebel,carib,0.014970412706050581,0.9850295872939415,0.0
51,18174puebel,carib,0.01583292168711779,0.9841670783128543,0.0
52,18175puebel,carib,0.016623406567712225,0.9833765934322584,0.0
53,18175puebel,carib,0.015920845604074346,0.9840791543958884,0.0
54,18176puebel,carib,0.015695020148649336,0.9843049798513145,0.0
55,18176puebel,carib,0.01445273318284564,0.9855472668171414,0.0
56,18178puebel,carib,0.015360366352260072,0.9846396336477107,0.0
57,18178puebel,carib,0.0164686158315009,0.9835313841684776,0.0
58,18179puebel,carib,0.014208962215743992,0.9857910377842279,0.0
59,18179puebel,carib,0.01507008424063969,0.9849299157593561,0.0
60,18180puebel,carib,0.01567411042908319,0.9843258895708785,0.0
61,18180puebel,carib,0.014831500246847892,0.9851684997531329,0.0
62,18185nigbel,carib,0.015631796043257488,0.9843682039567154,0.0
63,18185nigbel,carib,0.01537441222307226,0.9846255877769141,0.0
64,18187nigbel,carib,0.01413791701858515,0.9858620829813808,0.0
65,18187nigbel,carib,0.01373230873553614,0.9862676912644393,0.0
66,18195indbel,carib,0.008940074964263939,0.9910599250357184,0.0
67,18195indbel,carib,0.00784498761822972,0.992155012381747,0.0
68,18222indbel,carib,0.008809722966594769,0.9911902770333866,0.0
69,18222indbel,carib,0.008106998786134498,0.9918930012138469,0.0
70,18225indbel,carib,0.011367939880986897,0.9886320601190006,0.0
71,18225indbel,carib,0.011941281931970317,0.9880587180680017,0.0
72,18226indbel,carib,0.009309778270929613,0.9906902217290645,0.0
73,18226indbel,carib,0.009119840818074479,0.9908801591819107,0.0
74,18227indbel,carib,0.010312531368075837,0.9896874686319005,0.0
75,18227indbel,carib,0.009481553600426663,0.9905184463995508,0.0
76,18261unibel,carib,0.01685521171247956,0.9831447882874982,0.0
77,18261unibel,carib,0.016042591083217914,0.9839574089167531,0.0
78,18263abebel,carib,0.0161306209043966,0.9838693790955958,0.0
79,18263abebel,carib,0.015710908672194084,0.9842890913277766,0.0
80,18267unibel,carib,0.015319432268285292,0.9846805677316657,0.0
81,18267unibel,carib,0.014611105248344552,0.9853888947516426,0.0
82,18274unibel,carib,0.01688340770656025,0.9831165922933985,0.0
83,18274unibel,carib,0.016024372198192614,0.9839756278017765,0.0
84,18276unibel,carib,0.016615412240570324,0.9833845877594035,0.0
85,18276unibel,carib,0.014999935906359554,0.9850000640936144,0.0
86,18418nigboc,carib,0.010868965452756665,0.9891310345472235,0.0
87,18418nigboc,carib,0.011147616468062074,0.9888523835319237,0.0
88,18419pueboc,carib,0.013970752625213868,0.9860292473747656,0.0
89,18419pueboc,carib,0.014291873107537446,0.9857081268924484,0.0
90,18420uniboc,carib,0.015068318547711833,0.9849316814522806,0.0
91,18420uniboc,carib,0.014414349491076327,0.9855856505089039,0.0
92,18421pueboc,carib,0.015869973120316294,0.9841300268796624,0.0
93,18421pueboc,carib,0.013707935349896547,0.9862920646500782,0.0
94,18422pueboc,carib,0.014311302194049275,0.9856886978059008,0.0
95,18422pueboc,carib,0.015145691251678963,0.9848543087482786,0.0
96,18424nigboc,carib,0.011031756125760874,0.9889682438742043,0.0
97,18424nigboc,carib,0.010845101055388476,0.9891548989445987,0.0
98,18426pueboc,carib,0.01307484599141874,0.9869251540085603,0.0
99,18426pueboc,carib,0.014670652131874845,0.9853293478680887,0.0
100,18427pueboc,carib,0.012823847792710017,0.9871761522072524,0.0
101,18427pueboc,carib,0.01452163317700098,0.985478366822987,0.0
102,18428nigboc,carib,0.010892838556135903,0.9891071614438447,0.0
103,18428nigboc,carib,0.012264421229164386,0.9877355787708205,0.0
104,18429pueboc,carib,0.014120105477244545,0.985879894522717,0.0
105,18429pueboc,carib,0.015726768127797452,0.9842732318721742,0.0
106,18430pueboc,carib,0.015856157083640455,0.9841438429163301,0.0
107,18430pueboc,carib,0.016218657853433797,0.9837813421465252,0.0
108,18432pueboc,carib,0.013300218761745955,0.9866997812382206,0.0
109,18432pueboc,carib,0.012790502214542124,0.9872094977854281,0.0
110,18434pueboc,carib,0.014535923681538889,0.985464076318427,0.0
111,18434pueboc,carib,0.013026142399861112,0.9869738576001195,0.0
112,18435uniboc,carib,0.014685866422048499,0.9853141335779318,0.0
113,18435uniboc,carib,0.013954714523277931,0.9860452854767003,0.0
114,18439uniboc,carib,0.01597843239948145,0.9840215676004914,0.0
115,18439uniboc,carib,0.014164978041500012,0.985835021958478,0.0
116,18440uniboc,carib,0.016641863344914645,0.9833581366550529,0.0
117,18440uniboc,carib,0.015858624364486294,0.9841413756355056,0.0
118,18441uniboc,carib,0.01368940796803116,0.9863105920319598,0.0
119,18441uniboc,carib,0.016215708079106127,0.983784291920878,0.0
120,18442uniboc,carib,0.012431765396028648,0.9875682346039676,0.0
121,18442uniboc,carib,0.014747022491304128,0.9852529775086506,0.0
122,18445uniboc,carib,0.016325077620380563,0.9836749223796017,0.0
123,18445uniboc,carib,0.015388061097446577,0.9846119389025316,0.0
124,18446uniboc,carib,0.016022865612923293,0.9839771343870385,0.0
125,18446uniboc,carib,0.016941106125577428,0.9830588938744037,0.0
126,18447uniboc,carib,0.015285169586081677,0.9847148304138913,0.0
127,18447uniboc,carib,0.013913630887490824,0.9860863691124836,0.0
128,18448uniboc,carib,0.01546493304799993,0.9845350669519976,0.0
129,18448uniboc,carib,0.013238054706890684,0.9867619452930846,0.0
130,18449gumboc,carib,0.009707887537651592,0.9902921124623407,0.0
131,18449gumboc,carib,0.009898830194830692,0.9901011698051478,0.0
132,18450uniboc,carib,0.014776870118427855,0.9852231298815625,0.0
133,18450uniboc,carib,0.014993515415233619,0.9850064845847545,0.0
134,18452abeboc,carib,0.016994435246605218,0.9830055647533835,0.0
135,18452abeboc,carib,0.016223567846156636,0.9837764321538006,0.0
136,18454uniboc,carib,0.0140315059546569,0.9859684940453187,0.0
137,18454uniboc,carib,0.015500073193315388,0.9844999268066525,0.0
138,18471abeboc,carib,0.014737374567245637,0.9852626254327314,0.0
139,18471abeboc,carib,0.014152058122806569,0.9858479418771586,0.0
140,18492abebel,carib,0.015106232992854154,0.9848937670071382,0.0
141,18492abebel,carib,0.014932399792562263,0.985067600207397,0.0
142,18493abebel,carib,0.01573013058053706,0.9842698694194276,0.0
143,18493abebel,carib,0.015000984653933812,0.9849990153460279,0.0
144,18901nigboc,carib,0.011403470763495873,0.9885965292364751,0.0
145,18901nigboc,carib,0.011826422887462416,0.9881735771125066,0.0
146,18902nigboc,carib,0.011892524707450074,0.9881074752925152,0.0
147,18902nigboc,carib,0.010896787158901917,0.989103212841085,0.0
148,18903nigboc,carib,0.012528128509532388,0.9874718714904427,0.0
149,18903nigboc,carib,0.010875674862646359,0.989124325137339,0.0
150,18904nigboc,carib,0.010754296013266006,0.9892457039867215,0.0
151,18904nigboc,carib,0.011219772036410907,0.9887802279635615,0.0
152,18905nigboc,carib,0.010472751973941475,0.9895272480260445,0.0
153,18905nigboc,carib,0.010623837278295033,0.9893761627216883,0.0
154,18906nigboc,carib,0.011950039090161096,0.9880499609098152,0.0
155,18906nigboc,carib,0.0125112065647094,0.9874887934352783,0.0
156,18907nigboc,carib,0.011684833203631322,0.9883151667963435,0.0
157,18907nigboc,carib,0.011400960195923963,0.9885990398040596,0.0
158,18909nigboc,carib,0.011577987596008772,0.9884220124039725,0.0
159,18909nigboc,carib,0.013723837905646357,0.9862761620943258,0.0
160,18912pueboc,carib,0.016021214326604194,0.9839787856733442,0.0
161,18912pueboc,carib,0.01575612646680593,0.9842438735331696,0.0
162,18915pueboc,carib,0.014339504957585736,0.9856604950423872,0.0
163,18915pueboc,carib,0.014133444222623295,0.98586655577735,0.0
164,18917pueboc,carib,0.015814745674218735,0.9841852543257641,0.0
165,18917pueboc,carib,0.014382428984737409,0.9856175710152419,0.0
166,18935affboc,carib,0.013256841561621276,0.9867431584383661,0.0
167,18935affboc,carib,0.011939583044927891,0.9880604169550198,0.0
168,18936affboc,carib,0.013378762157575474,0.9866212378424017,0.0
169,18936affboc,carib,0.01244370547209154,0.9875562945278871,0.0
170,18949abegun,carib,0.013681248551920022,0.9863187514480771,0.0
171,18949abegun,carib,0.01265204826395722,0.9873479517360296,0.0
172,18986affboc,carib,0.0099370073432412,0.9900629926567606,0.0
173,18986affboc,carib,0.012043010818125748,0.9879569891818712,0.0
174,19076gutbar,carib,0.011857754068451286,0.9881422459315481,0.0
175,19076gutbar,carib,0.012218261341693824,0.9877817386582719,0.0
176,19077tanbar,carib,0.01074005305231827,0.9892599469476746,0.0
177,19077tanbar,carib,0.011483364997884592,0.9885166350020995,0.0
178,19079tanbar,carib,0.011561656391925452,0.988438343608061,0.0
179,19079tanbar,carib,0.010283623060095226,0.9897163769398974,0.0
180,19080gutbar,carib,0.01350698366853823,0.9864930163314425,0.0
181,19080gutbar,carib,0.01412105631479985,0.9858789436851476,0.0
182,19104puegun,carib,0.0161762186852517,0.9838237813147184,0.0
