N1	N2	Na	Tsplit	M12	M21
0.59543	0.68795	1.03336	0.34786	34.26937	30.28764
1.03797	0.19722	1.74541	0.73544	17.39298	3.99611
0.58535	1.38105	0.58469	0.66982	11.44543	5.98076
0.67614	1.25763	0.05451	1.30147	16.86494	37.89966
1.95561	1.73943	0.31217	0.61628	18.32299	26.50714
1.82377	0.52465	0.36647	1.11833	31.37992	17.54467
1.34095	1.59398	1.25177	0.79774	1.89685	17.53296
0.12855	0.3008	1.21313	0.01145	38.19082	31.49215
1.03466	1.31341	1.47154	0.5086	30.72002	26.45337
0.98619	1.7722	1.60391	1.07585	16.94687	31.27268
0.94026	1.98737	1.35819	1.46102	9.36102	31.60997
1.43886	1.24236	1.5061	1.62717	16.10287	13.82202
1.23505	1.13601	1.74364	0.57723	27.96333	22.70097
0.7391	1.23514	1.73575	1.26792	4.88172	12.72413
0.19181	0.42581	1.62271	1.73926	16.92426	30.44586
1.24173	0.18796	1.67272	1.53845	38.88914	1.43427
1.85394	1.93596	1.35087	1.73164	20.47094	5.55964
0.0996	0.38309	0.00582	0.36824	5.34708	24.21069
1.66469	1.79362	1.85968	1.376	1.04543	17.71115
1.98257	0.80747	1.03268	0.19733	17.89381	8.51611
1.10546	1.13219	1.00962	0.70533	12.25031	11.61631
0.16549	1.45147	1.21742	0.00101	24.08854	25.77034
1.49206	0.61334	0.64116	0.65358	2.94751	11.14689
0.2129	0.84708	1.98572	1.02612	8.25303	1.97326
0.32908	0.48296	0.38727	0.72914	20.43325	33.73735
1.15295	0.48247	1.48464	1.22937	22.5492	34.81593
0.09853	0.70873	1.28768	0.01563	13.85891	15.09641
1.92233	1.45218	0.86877	1.21682	8.19606	17.09623
0.67645	0.64364	0.88192	0.82614	21.567	39.07332
1.37365	1.42165	0.58494	0.33246	36.25832	37.76972
0.4321	1.53353	1.08729	1.4813	28.17535	37.40259
1.86079	0.55195	1.24857	0.20252	19.2229	33.29785
0.68351	0.11254	1.91268	1.4066	7.3701	34.39294
0.06648	1.71614	1.94545	0.01066	26.80449	37.31395
1.63445	0.20667	0.41602	0.88991	33.66747	34.67118
1.45917	0.86584	1.55056	0.02359	16.55993	18.87959
0.61628	1.69334	1.15236	0.4348	29.43906	24.25776
0.96555	0.18262	0.39863	0.67279	39.51437	26.92097
1.69939	1.02634	0.32559	0.51923	5.58018	17.39295
0.2708	1.96212	0.14434	1.7073	4.61918	33.11959
1.82971	1.46005	0.00351	1.13295	17.62588	27.89359
0.3143	0.60671	1.42156	1.50126	22.52565	11.97456
0.41852	0.68267	1.43402	0.56539	25.13061	29.1254
0.36924	0.39	0.14541	0.84961	18.81015	9.34699
1.18602	1.52208	0.03191	0.10688	18.08447	33.81196
1.49004	0.6998	1.17758	0.98156	3.69006	21.17446
1.11469	1.79801	1.63543	0.77351	26.12942	33.51473
0.57925	1.83307	0.91346	1.47883	4.52608	27.42691
0.27959	0.75597	0.75621	1.44425	16.88388	28.95983
1.79813	1.00248	1.2607	0.19485	7.74357	27.682
0.46085	0.14823	1.18774	0.56504	32.14539	33.51027
1.78425	1.41012	1.79144	1.55737	20.74657	14.30399
0.90378	1.84672	1.00049	0.1786	29.96555	17.79345
1.45382	0.66372	1.66485	0.12377	7.44704	32.83683
1.66098	1.18002	1.78661	1.27982	10.23157	13.9138
0.29356	0.91182	0.42664	1.54025	15.8129	37.99125
0.09723	0.23718	1.93786	0.49157	23.61232	8.46308
1.36333	0.71824	1.32121	1.53768	22.32233	21.29246
0.90115	0.15965	0.79878	1.02657	14.67667	9.90518
0.13493	1.01136	0.63974	1.21075	19.984	3.70041
0.46119	1.17717	0.04699	0.16487	37.57087	20.0562
0.61205	1.3932	1.9788	0.05869	12.23317	22.67117
1.04254	0.8091	0.09159	0.51356	6.08713	15.01105
0.486	0.11743	1.74222	0.95638	39.90388	20.9635
0.61727	0.97655	0.63549	1.09785	2.67635	38.57589
0.3536	0.65258	1.81093	0.12084	26.74357	6.17534
1.04315	1.56199	0.23104	1.25183	26.4753	23.98626
0.26055	0.99475	0.70097	0.04205	33.83436	19.29073
0.54291	0.99858	0.11387	0.58303	13.63236	32.33092
1.36774	1.94383	1.18311	0.87393	18.8439	10.55186
1.51013	0.42988	0.49801	0.30902	27.1522	7.58761
1.20759	1.24943	1.13671	1.45975	22.88139	15.4213
0.51504	0.4628	1.90559	1.5204	7.44833	27.08652
1.42128	1.73284	1.16983	0.34723	10.89828	35.61367
1.56672	1.25325	1.95272	1.39393	22.39594	33.13556
1.73014	0.86672	0.68853	0.17411	16.09842	16.18264
1.79346	1.88847	1.77856	0.6976	4.05514	7.2251
1.06009	0.9736	1.71138	0.02225	27.63509	16.38195
1.72867	1.27194	1.7006	0.73051	9.77833	30.0179
1.60286	0.07677	1.3121	0.30605	9.85302	17.90129
0.73398	0.6765	1.88269	0.12611	31.69738	33.83251
0.65299	1.8782	1.49981	0.53206	21.5914	29.65957
0.06195	1.87882	0.4325	1.59834	19.81582	19.51845
0.79945	1.84243	1.19808	0.61359	26.80948	9.75964
0.64417	0.07496	1.22643	0.57684	12.77792	10.04652
1.4339	1.00856	1.7241	1.52143	30.46941	32.52043
1.21577	0.17313	1.81428	0.09725	33.8306	32.31566
0.12371	0.84145	0.49119	0.51162	4.41677	4.61582
0.84078	0.71605	0.95186	0.25683	15.38835	17.21064
1.10254	0.23001	0.71013	0.22463	26.01316	25.62359
0.41446	0.65403	1.53221	0.77345	19.88683	36.60899
0.95807	1.29816	1.74693	0.98138	29.44356	4.17242
0.6206	1.01575	1.19565	0.40331	28.20132	11.93143
1.6776	0.77295	1.00153	0.15827	24.15939	33.98979
1.10722	1.21018	1.20919	0.23352	13.90955	31.2533
1.7128	0.40064	0.00579	1.70564	31.13772	39.41209
1.67321	1.94114	0.39406	0.55308	18.52709	21.28193
0.28686	0.28329	0.04479	0.1581	30.95232	29.64222
0.18934	0.29424	0.19616	0.02719	11.20539	2.93398
0.82502	1.40097	0.14759	0.11726	25.46415	35.86688
1.57509	0.00213	1.79603	0.29544	35.13837	30.98011
0.66034	0.86141	0.41158	1.57853	28.89269	25.16582
0.14556	0.99076	0.42024	0.44814	35.80111	4.14277
1.84613	1.54797	1.91093	1.00911	38.25298	13.3313
0.2549	0.43946	0.4869	0.78741	20.11041	17.79809
1.89914	0.49587	0.27562	0.20033	30.22979	25.4966
0.12658	1.06003	1.26741	0.13152	27.86895	2.97072
0.96063	0.63048	1.36053	0.03776	29.71207	8.44512
0.86089	1.24412	0.55314	1.18623	17.33587	16.02622
0.85996	0.42454	1.54745	0.06565	1.98782	4.2854
0.59928	1.6903	1.04787	0.15505	21.13924	25.0856
0.30824	1.1187	1.02068	1.60056	32.6887	36.59636
0.37325	1.86319	1.89698	1.26567	24.64098	8.79885
1.45658	1.71373	1.62721	1.58469	22.88699	3.54082
0.46034	1.36803	0.65716	0.46985	32.43281	18.03514
0.8618	0.51368	0.55167	0.13126	28.2675	21.16309
0.92983	1.12832	0.57026	1.03119	27.16937	2.828
1.74233	1.05632	1.4116	0.53028	2.53118	3.68749
0.77682	0.3389	0.8494	1.25899	15.63652	9.15675
0.56347	1.48127	1.2194	0.88332	23.2247	37.28021
0.38134	1.57741	0.21519	1.38467	3.78869	27.66457
0.87183	1.14912	1.30552	1.29398	11.10306	8.6734
0.48812	1.79897	1.13677	1.62657	38.26773	9.59807
0.55321	0.6002	1.65916	1.57995	29.1677	35.45036
0.48872	1.02518	0.13245	1.11919	23.03933	5.11517
1.14013	0.52229	1.92703	0.98773	22.02604	20.3548
0.9308	0.18501	1.31687	1.09642	13.79017	4.51246
1.85181	1.6709	0.38461	0.37443	38.10101	11.43392
1.51361	0.29825	1.71834	1.68766	30.01927	2.54274
0.47068	1.6057	0.97698	0.43911	34.66077	28.51107
0.88059	1.50131	0.2946	1.17949	34.9038	28.15812
1.57485	0.29935	1.19684	1.53461	12.076	27.12427
0.54491	1.22717	0.04361	0.86209	14.08737	31.29828
0.57788	0.12426	1.49526	0.33453	13.38159	30.9732
1.50923	0.0616	0.01477	0.51004	27.39752	20.11558
0.85649	1.00204	1.31734	1.7468	39.79452	29.7863
0.28138	0.23373	0.55962	1.1208	25.20963	6.64258
0.36467	0.05853	0.28767	0.67954	33.98594	6.23275
1.61793	1.96961	0.35022	0.71504	5.10982	31.41625
0.63918	0.55338	0.78743	1.03671	11.67905	9.57262
1.62636	1.86767	0.80237	1.57896	29.98445	31.47399
1.49998	1.25657	0.76214	1.52573	11.59848	3.7232
0.43427	1.35609	1.98475	1.61778	20.32616	8.17582
0.70902	1.27825	0.63194	1.34253	34.56069	12.0604
1.82097	0.95254	0.19583	0.13536	39.54039	1.53917
0.44192	0.66376	0.69368	0.30261	20.9645	20.62857
1.83708	0.27626	1.28503	1.59287	14.78967	24.1988
1.6916	1.165	0.0107	0.69486	31.6469	21.09912
1.4765	1.75001	1.31749	0.204	3.3128	26.25912
0.87113	0.27062	1.31369	0.14871	8.75511	36.8071
1.49597	0.03279	1.35068	1.4021	30.9055	34.84792
0.72836	0.92349	0.16567	0.29506	39.91817	4.38237
0.63935	1.15134	0.43986	0.96471	4.98336	8.63719
0.82819	0.62283	0.64937	1.68901	25.20882	11.15498
1.41727	0.8588	1.79599	1.61169	15.38549	14.11593
1.0158	0.07448	1.66152	0.32929	14.63479	11.13133
1.1534	1.75252	0.02027	1.70215	6.73571	10.09208
0.60715	0.21058	1.43153	0.16109	2.93589	1.90334
0.99295	0.05363	1.02226	1.52352	16.3855	5.63294
0.38948	1.16704	1.95944	0.54529	37.23525	28.11267
1.50643	1.49932	0.5429	0.9673	12.07099	25.3277
1.44122	1.90958	0.49203	1.11142	16.80995	1.06353
1.22727	1.51563	0.364	1.37366	10.45161	20.85839
0.81751	0.87925	1.79423	0.73973	7.24267	24.02533
0.92025	0.98872	0.2038	1.20906	18.74322	30.54817
0.99637	0.99301	0.40321	1.70041	21.83699	31.50248
1.75582	1.77742	0.85292	0.66	8.95092	32.44094
0.6433	0.96681	0.80366	1.57483	10.44768	35.44631
1.59929	1.82662	1.66803	1.40324	9.19719	25.93535
1.18957	1.59213	1.45851	1.56415	26.60374	29.48842
1.19393	0.79479	0.54749	1.08456	18.46647	1.26978
1.56477	1.89083	0.29987	1.09595	14.66977	25.56919
0.36991	1.55237	1.09593	0.89242	33.76041	31.49688
0.26189	0.14464	1.0872	1.63772	22.87925	32.84279
0.54891	0.05387	0.58395	0.06207	30.37895	34.2787
1.7652	1.36537	1.76125	0.4429	32.83668	37.55084
0.50201	1.51029	1.53051	0.0067	12.7803	14.7193
0.05271	0.46275	1.31554	0.72223	18.3278	3.04296
1.44246	0.36332	0.66598	0.11825	10.4433	31.07375
0.72483	0.68743	1.55199	0.78667	21.44799	28.19335
1.17544	1.95785	1.09019	0.89118	20.77543	35.62122
0.64414	0.25364	1.0265	0.95778	24.14585	21.73613
1.36205	1.31441	0.81015	0.29583	11.61283	6.05249
1.25372	0.73441	1.14876	0.98465	6.27579	12.11336
