eigenvalue	percentage of variance	cumulative percentage of variance
comp 1	57.2844647082267	65.8442123083066	65.8442123083066
comp 2	14.2936746376452	16.4295110777531	82.2737233860597
comp 3	4.11072310587468	4.72496908721228	86.998692473272
comp 4	2.58528193271902	2.97158842841267	89.9702809016846
comp 5	2.09450362255506	2.40747542822421	92.3777563299088
comp 6	1.38936429939687	1.59697045907686	93.9747267889857
comp 7	1.0005002860578	1.15000032880207	95.1247271177878
comp 8	0.889546107245831	1.02246678993774	96.1471939077255
comp 9	0.682082266994072	0.784002605740314	96.9311965134658
comp 10	0.572972046869092	0.658588559619646	97.5897850730855
comp 11	0.368362827957705	0.423405549376673	98.0131906224621
comp 12	0.304421464520181	0.349909729333542	98.3631003517957
comp 13	0.223051920918103	0.25638151829667	98.6194818700924
comp 14	0.181835674434549	0.209006522338562	98.8284883924309
comp 15	0.152985522935012	0.175845428660933	99.0043338210918
comp 16	0.149887680373394	0.172284690084361	99.1766185111762
comp 17	0.114318477829315	0.131400549229097	99.3080190604053
comp 18	0.0991770618009824	0.11399662275975	99.4220156831651
comp 19	0.0872761746422497	0.100317442117528	99.5223331252826
comp 20	0.0550316451223124	0.0632547645084051	99.585587889791
comp 21	0.0485522151077651	0.0558071438020289	99.641395033593
comp 22	0.0396367831649442	0.0455595208792462	99.6869545544723
comp 23	0.0326934837182276	0.037578716917503	99.7245332713898
comp 24	0.0257249233019769	0.0295688773585941	99.7541021487484
comp 25	0.0231372051866604	0.0265944887202993	99.7806966374687
comp 26	0.0191942486694807	0.0220623547925066	99.8027589922612
comp 27	0.0182153867066149	0.0209372260995573	99.8236962183607
comp 28	0.0155884968481549	0.0179178124691436	99.8416140308299
comp 29	0.0135566480762928	0.0155823541106814	99.8571963849406
comp 30	0.0126761348551476	0.0145702699484455	99.871766654889
comp 31	0.0100572519608334	0.0115600597250959	99.8833267146141
comp 32	0.0097071165197289	0.0111576051950907	99.8944843198092
comp 33	0.00798722728482162	0.00918072101703635	99.9036650408262
comp 34	0.00710391331791862	0.00816541760680302	99.911830458433
comp 35	0.00685243818526607	0.0078763657301909	99.9197068241632
comp 36	0.00664339294567109	0.00763608384559896	99.9273429080088
comp 37	0.00563554725935053	0.00647764052798913	99.9338205485368
comp 38	0.00478259286204818	0.00549723317476803	99.9393177817116
comp 39	0.0041722542855696	0.00479569458111449	99.9441134762927
comp 40	0.00382474680508548	0.00439626069550055	99.9485097369882
comp 41	0.00342457437518629	0.0039362923852716	99.9524460293735
comp 42	0.00328694151148425	0.00377809369136121	99.9562241230648
comp 43	0.00317605251909362	0.00365063507941795	99.9598747581442
comp 44	0.00317020128636202	0.00364390952455405	99.9635186676688
comp 45	0.00282223806917859	0.00324395180365356	99.9667626194724
comp 46	0.00266069837530156	0.00305827399459949	99.969820893467
comp 47	0.00240793162043409	0.00276773749475183	99.9725886309618
comp 48	0.00217002165160277	0.00249427776046296	99.9750829087223
comp 49	0.00209875686521027	0.00241236421288537	99.9774952729351
comp 50	0.00191435559331862	0.00220040872795243	99.9796956816631
comp 51	0.00183987859964921	0.00211480298810254	99.9818104846512
comp 52	0.00174446263106192	0.00200512946099071	99.9838156141122
comp 53	0.00150014773573101	0.00172430774221955	99.9855399218544
comp 54	0.0013439375793167	0.00154475583829505	99.9870846776927
comp 55	0.00122872170287307	0.00141232379640583	99.9884970014891
comp 56	0.0011836452983278	0.00136051183715839	99.9898575133263
comp 57	0.00113601844983616	0.00130576833314501	99.9911632816594
comp 58	0.00102873733422809	0.0011824567060093	99.9923457383654
comp 59	0.00100525725867032	0.00115546811341416	99.9935012064788
comp 60	0.000856563742509712	0.000984556025873233	99.9944857625047
comp 61	0.000748044649744716	0.00085982143648818	99.9953455839412
comp 62	0.000636866575872632	0.000732030546980037	99.9960776144882
comp 63	0.000582643702265337	0.000669705404902687	99.9967473198931
comp 64	0.000539392429373881	0.000619991298130898	99.9973673111912
comp 65	0.000491823720749644	0.000565314621551316	99.9979326258128
comp 66	0.000372757284318927	0.000428456648642445	99.9983610824614
comp 67	0.000316469914660642	0.000363758522598439	99.998724840984
comp 68	0.000293668406830703	0.000337549892908855	99.9990623908769
comp 69	0.000268248505509857	0.000308331615528572	99.9993707224924
comp 70	0.000192236036148882	0.000220960961090669	99.9995916834535
comp 71	0.000130947944411368	0.000150514878633757	99.9997421983322
comp 72	7.24837057397172e-05	8.33146042985255e-05	99.9998255129365
comp 73	5.29153647762173e-05	6.08222583634682e-05	99.9998863351948
comp 74	4.9729033052047e-05	5.71598081058012e-05	99.9999434950029
comp 75	3.08170868902903e-05	3.54219389543567e-05	99.9999789169419
comp 76	1.36020099168197e-05	1.5634494157264e-05	99.999994551436
comp 77	4.36880014876312e-06	5.0216093663944e-06	99.9999995730454
comp 78	1.23209147226601e-07	1.41619709455864e-07	99.9999997146651
comp 79	9.3385731472765e-08	1.07339921233063e-07	99.999999822005
comp 80	6.09630613012008e-08	7.00724842542539e-08	99.9999998920775
comp 81	2.16597596708585e-08	2.48962754837455e-08	99.9999999169738
comp 82	2.0580690909156e-08	2.36559665622483e-08	99.9999999406298
comp 83	1.84653262276831e-08	2.12245129053828e-08	99.9999999618543
comp 84	1.76827062505767e-08	2.03249497133065e-08	99.9999999821792
comp 85	1.31300937960165e-08	1.50920618345018e-08	99.9999999972713
comp 86	2.37397286797235e-09	2.72870444594523e-09	100
comp 87	7.10908994917834e-17	8.17136775767627e-17	100
