time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	78.7684
1	4.63768e-06	1.05405e-05	78.7684
2	1.05405e-05	1.80537e-05	665.809
3	1.80537e-05	2.76165e-05	503.093
4	2.76165e-05	3.97881e-05	404.232
5	3.97881e-05	5.52802e-05	408.774
6	5.52802e-05	7.49986e-05	478.254
7	7.49986e-05	0.000100096	559.833
8	0.000100096	0.000132041	637.981
9	0.000132041	0.0001727	717.653
10	0.0001727	0.00022445	800.751
11	0.00022445	0.000290319	879.415
12	0.000290319	0.000374157	945.804
13	0.000374157	0.000480867	991.171
14	0.000480867	0.000616687	1006.7
15	0.000616687	0.00078956	992.153
16	0.00078956	0.00100959	959.593
17	0.00100959	0.00128965	924.001
18	0.00128965	0.00164611	889.338
19	0.00164611	0.00209982	845.843
20	0.00209982	0.0026773	780.262
21	0.0026773	0.00341231	686.07
22	0.00341231	0.00434784	569.929
23	0.00434784	0.00553859	447.677
24	0.00553859	0.00705419	333.591
25	0.00705419	0.00898324	239.308
26	0.00898324	0.0114385	172.837
27	0.0114385	0.0145637	131.455
28	0.0145637	0.0185413	131.455
29	0.0185413	0.0236041	55.326
30	0.0236041	0.0300481	55.326
31	0.0300481	inf	55.326
