time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	109.868
1	2.71271e-06	6.23343e-06	109.868
2	6.23343e-06	1.08029e-05	154.901
3	1.08029e-05	1.67334e-05	82.261
4	1.67334e-05	2.44304e-05	73.757
5	2.44304e-05	3.44201e-05	106.082
6	3.44201e-05	4.73853e-05	117.726
7	4.73853e-05	6.42125e-05	111.573
8	6.42125e-05	8.60519e-05	137.348
9	8.60519e-05	0.000114397	210.454
10	0.000114397	0.000151184	344.926
11	0.000151184	0.000198929	502.998
12	0.000198929	0.000260896	601.514
13	0.000260896	0.000341321	619.661
14	0.000341321	0.000445702	612.889
15	0.000445702	0.000581173	618.389
16	0.000581173	0.000756998	646.641
17	0.000756998	0.000985194	699.121
18	0.000985194	0.00128136	770.393
19	0.00128136	0.00166575	851.959
20	0.00166575	0.00216463	924.141
21	0.00216463	0.00281211	942.694
22	0.00281211	0.00365246	866.973
23	0.00365246	0.00474311	698.315
24	0.00474311	0.00615864	492.546
25	0.00615864	0.0079958	315.705
26	0.0079958	0.0103802	198.037
27	0.0103802	0.0134748	128.019
28	0.0134748	0.0174912	128.019
29	0.0174912	0.0227039	60.3536
30	0.0227039	0.0294694	60.3536
31	0.0294694	inf	60.3536
