time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	10.4352
1	2.71271e-06	6.23343e-06	10.4352
2	6.23343e-06	1.08029e-05	4.10026
3	1.08029e-05	1.67334e-05	3.03529
4	1.67334e-05	2.44304e-05	13.6414
5	2.44304e-05	3.44201e-05	35.4303
6	3.44201e-05	4.73853e-05	62.7765
7	4.73853e-05	6.42125e-05	108.906
8	6.42125e-05	8.60519e-05	185.088
9	8.60519e-05	0.000114397	311.583
10	0.000114397	0.000151184	493.674
11	0.000151184	0.000198929	680.776
12	0.000198929	0.000260896	789.817
13	0.000260896	0.000341321	800.563
14	0.000341321	0.000445702	769.859
15	0.000445702	0.000581173	752.691
16	0.000581173	0.000756998	766.409
17	0.000756998	0.000985194	806.057
18	0.000985194	0.00128136	861.253
19	0.00128136	0.00166575	916.698
20	0.00166575	0.00216463	945.71
21	0.00216463	0.00281211	917.372
22	0.00281211	0.00365246	813.309
23	0.00365246	0.00474311	649.944
24	0.00474311	0.00615864	469.878
25	0.00615864	0.0079958	313.946
26	0.0079958	0.0103802	204.919
27	0.0103802	0.0134748	137.208
28	0.0134748	0.0174912	137.208
29	0.0174912	0.0227039	52.6225
30	0.0227039	0.0294694	52.6225
31	0.0294694	inf	52.6225
