time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	198.044
1	4.63768e-06	1.05405e-05	198.044
2	1.05405e-05	1.80537e-05	480.988
3	1.80537e-05	2.76165e-05	535.962
4	2.76165e-05	3.97881e-05	558.003
5	3.97881e-05	5.52802e-05	573.027
6	5.52802e-05	7.49986e-05	613.105
7	7.49986e-05	0.000100096	676.319
8	0.000100096	0.000132041	755.038
9	0.000132041	0.0001727	836.883
10	0.0001727	0.00022445	915.207
11	0.00022445	0.000290319	992.49
12	0.000290319	0.000374157	1062.98
13	0.000374157	0.000480867	1113.09
14	0.000480867	0.000616687	1137.86
15	0.000616687	0.00078956	1136.07
16	0.00078956	0.00100959	1111.89
17	0.00100959	0.00128965	1077.17
18	0.00128965	0.00164611	1031.65
19	0.00164611	0.00209982	959.591
20	0.00209982	0.0026773	853.138
21	0.0026773	0.00341231	719.083
22	0.00341231	0.00434784	572.378
23	0.00434784	0.00553859	429.843
24	0.00553859	0.00705419	306.289
25	0.00705419	0.00898324	212.688
26	0.00898324	0.0114385	152.52
27	0.0114385	0.0145637	115.296
28	0.0145637	0.0185413	115.296
29	0.0185413	0.0236041	130.96
30	0.0236041	0.0300481	130.96
31	0.0300481	inf	130.96
