time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	43.2007
1	2.71271e-06	6.23343e-06	43.2007
2	6.23343e-06	1.08029e-05	227.907
3	1.08029e-05	1.67334e-05	464.558
4	1.67334e-05	2.44304e-05	626.605
5	2.44304e-05	3.44201e-05	619.027
6	3.44201e-05	4.73853e-05	565.929
7	4.73853e-05	6.42125e-05	559.981
8	6.42125e-05	8.60519e-05	605.03
9	8.60519e-05	0.000114397	679.222
10	0.000114397	0.000151184	763.951
11	0.000151184	0.000198929	853.294
12	0.000198929	0.000260896	940.828
13	0.000260896	0.000341321	1019.33
14	0.000341321	0.000445702	1082.95
15	0.000445702	0.000581173	1120.08
16	0.000581173	0.000756998	1121.44
17	0.000756998	0.000985194	1096.8
18	0.000985194	0.00128136	1062.89
19	0.00128136	0.00166575	1022.2
20	0.00166575	0.00216463	957.328
21	0.00216463	0.00281211	848.637
22	0.00281211	0.00365246	702.167
23	0.00365246	0.00474311	543.875
24	0.00474311	0.00615864	395.419
25	0.00615864	0.0079958	270.897
26	0.0079958	0.0103802	181.231
27	0.0103802	0.0134748	116.165
28	0.0134748	0.0174912	116.165
29	0.0174912	0.0227039	94.6688
30	0.0227039	0.0294694	94.6688
31	0.0294694	inf	94.6688
