time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	6.69985
1	4.63768e-06	1.05405e-05	6.69985
2	1.05405e-05	1.80537e-05	33.0222
3	1.80537e-05	2.76165e-05	106.182
4	2.76165e-05	3.97881e-05	105.877
5	3.97881e-05	5.52802e-05	92.0622
6	5.52802e-05	7.49986e-05	104.567
7	7.49986e-05	0.000100096	131.592
8	0.000100096	0.000132041	170.386
9	0.000132041	0.0001727	227.842
10	0.0001727	0.00022445	295.681
11	0.00022445	0.000290319	364.729
12	0.000290319	0.000374157	432.55
13	0.000374157	0.000480867	501.832
14	0.000480867	0.000616687	571.313
15	0.000616687	0.00078956	638.123
16	0.00078956	0.00100959	699.04
17	0.00100959	0.00128965	751.072
18	0.00128965	0.00164611	793.799
19	0.00164611	0.00209982	822.4
20	0.00209982	0.0026773	820.554
21	0.0026773	0.00341231	769.576
22	0.00341231	0.00434784	662.683
23	0.00434784	0.00553859	518.392
24	0.00553859	0.00705419	371.358
25	0.00705419	0.00898324	253.092
26	0.00898324	0.0114385	176.594
27	0.0114385	0.0145637	131.39
28	0.0145637	0.0185413	131.39
29	0.0185413	0.0236041	75.3642
30	0.0236041	0.0300481	75.3642
31	0.0300481	inf	75.3642
