time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	160.615
1	4.63768e-06	1.05405e-05	160.615
2	1.05405e-05	1.80537e-05	2478.37
3	1.80537e-05	2.76165e-05	1746.62
4	2.76165e-05	3.97881e-05	1081.27
5	3.97881e-05	5.52802e-05	778.104
6	5.52802e-05	7.49986e-05	683.845
7	7.49986e-05	0.000100096	691.162
8	0.000100096	0.000132041	751.092
9	0.000132041	0.0001727	826.777
10	0.0001727	0.00022445	900.532
11	0.00022445	0.000290319	970.957
12	0.000290319	0.000374157	1036.29
13	0.000374157	0.000480867	1088.43
14	0.000480867	0.000616687	1111.51
15	0.000616687	0.00078956	1102.84
16	0.00078956	0.00100959	1075.89
17	0.00100959	0.00128965	1040.76
18	0.00128965	0.00164611	995.859
19	0.00164611	0.00209982	931.298
20	0.00209982	0.0026773	837.123
21	0.0026773	0.00341231	715.559
22	0.00341231	0.00434784	579.494
23	0.00434784	0.00553859	441.43
24	0.00553859	0.00705419	316.068
25	0.00705419	0.00898324	220.61
26	0.00898324	0.0114385	161.25
27	0.0114385	0.0145637	127.932
28	0.0145637	0.0185413	127.932
29	0.0185413	0.0236041	73.5702
30	0.0236041	0.0300481	73.5702
31	0.0300481	inf	73.5702
