time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	3.71329
1	4.63768e-06	1.05405e-05	3.71329
2	1.05405e-05	1.80537e-05	13.7852
3	1.80537e-05	2.76165e-05	62.3366
4	2.76165e-05	3.97881e-05	79.4399
5	3.97881e-05	5.52802e-05	92.6062
6	5.52802e-05	7.49986e-05	104.858
7	7.49986e-05	0.000100096	124.772
8	0.000100096	0.000132041	171.401
9	0.000132041	0.0001727	237.111
10	0.0001727	0.00022445	304.425
11	0.00022445	0.000290319	373.335
12	0.000290319	0.000374157	445.165
13	0.000374157	0.000480867	516.812
14	0.000480867	0.000616687	584.603
15	0.000616687	0.00078956	646.111
16	0.00078956	0.00100959	701.098
17	0.00100959	0.00128965	750.746
18	0.00128965	0.00164611	794.835
19	0.00164611	0.00209982	826.482
20	0.00209982	0.0026773	826.534
21	0.0026773	0.00341231	771.54
22	0.00341231	0.00434784	656.842
23	0.00434784	0.00553859	507.645
24	0.00553859	0.00705419	359.68
25	0.00705419	0.00898324	243.083
26	0.00898324	0.0114385	170.331
27	0.0114385	0.0145637	127.744
28	0.0145637	0.0185413	127.744
29	0.0185413	0.0236041	70.74
30	0.0236041	0.0300481	70.74
31	0.0300481	inf	70.74
