time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	101.81
1	4.63768e-06	1.05405e-05	101.81
2	1.05405e-05	1.80537e-05	553.299
3	1.80537e-05	2.76165e-05	566.791
4	2.76165e-05	3.97881e-05	515.27
5	3.97881e-05	5.52802e-05	511.226
6	5.52802e-05	7.49986e-05	549.638
7	7.49986e-05	0.000100096	611.511
8	0.000100096	0.000132041	679.936
9	0.000132041	0.0001727	753.088
10	0.0001727	0.00022445	835.689
11	0.00022445	0.000290319	921.75
12	0.000290319	0.000374157	999.345
13	0.000374157	0.000480867	1049.24
14	0.000480867	0.000616687	1057.26
15	0.000616687	0.00078956	1029.83
16	0.00078956	0.00100959	987.425
17	0.00100959	0.00128965	947.518
18	0.00128965	0.00164611	909.06
19	0.00164611	0.00209982	859.762
20	0.00209982	0.0026773	787.079
21	0.0026773	0.00341231	686.288
22	0.00341231	0.00434784	562.471
23	0.00434784	0.00553859	431.73
24	0.00553859	0.00705419	312.14
25	0.00705419	0.00898324	219.095
26	0.00898324	0.0114385	159.513
27	0.0114385	0.0145637	120.729
28	0.0145637	0.0185413	120.729
29	0.0185413	0.0236041	97.3857
30	0.0236041	0.0300481	97.3857
31	0.0300481	inf	97.3857
