time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	27.981
1	2.71271e-06	6.23343e-06	27.981
2	6.23343e-06	1.08029e-05	172.184
3	1.08029e-05	1.67334e-05	583.189
4	1.67334e-05	2.44304e-05	712.468
5	2.44304e-05	3.44201e-05	597.013
6	3.44201e-05	4.73853e-05	530.612
7	4.73853e-05	6.42125e-05	549.746
8	6.42125e-05	8.60519e-05	616.226
9	8.60519e-05	0.000114397	693.578
10	0.000114397	0.000151184	769.303
11	0.000151184	0.000198929	847.29
12	0.000198929	0.000260896	929.443
13	0.000260896	0.000341321	1012.97
14	0.000341321	0.000445702	1091.2
15	0.000445702	0.000581173	1149.63
16	0.000581173	0.000756998	1176.79
17	0.000756998	0.000985194	1177.43
18	0.000985194	0.00128136	1156.07
19	0.00128136	0.00166575	1117.7
20	0.00166575	0.00216463	1042.89
21	0.00216463	0.00281211	920.955
22	0.00281211	0.00365246	756.923
23	0.00365246	0.00474311	576.593
24	0.00474311	0.00615864	412.374
25	0.00615864	0.0079958	288.605
26	0.0079958	0.0103802	208.21
27	0.0103802	0.0134748	149.183
28	0.0134748	0.0174912	149.183
29	0.0174912	0.0227039	28.0518
30	0.0227039	0.0294694	28.0518
31	0.0294694	inf	28.0518
