time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	67.6247
1	4.63768e-06	1.05405e-05	67.6247
2	1.05405e-05	1.80537e-05	1330.11
3	1.80537e-05	2.76165e-05	1281.16
4	2.76165e-05	3.97881e-05	858.461
5	3.97881e-05	5.52802e-05	622.921
6	5.52802e-05	7.49986e-05	564.206
7	7.49986e-05	0.000100096	591.134
8	0.000100096	0.000132041	660.211
9	0.000132041	0.0001727	746.469
10	0.0001727	0.00022445	828.855
11	0.00022445	0.000290319	900.294
12	0.000290319	0.000374157	957.955
13	0.000374157	0.000480867	999.344
14	0.000480867	0.000616687	1024.87
15	0.000616687	0.00078956	1033.18
16	0.00078956	0.00100959	1029.29
17	0.00100959	0.00128965	1019.21
18	0.00128965	0.00164611	998.595
19	0.00164611	0.00209982	957.531
20	0.00209982	0.0026773	889.034
21	0.0026773	0.00341231	786.474
22	0.00341231	0.00434784	652.839
23	0.00434784	0.00553859	502.716
24	0.00553859	0.00705419	356.782
25	0.00705419	0.00898324	240.204
26	0.00898324	0.0114385	164.859
27	0.0114385	0.0145637	110.314
28	0.0145637	0.0185413	110.314
29	0.0185413	0.0236041	60.0472
30	0.0236041	0.0300481	60.0472
31	0.0300481	inf	60.0472
