time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	2539.49
1	4.63768e-06	1.05405e-05	2539.49
2	1.05405e-05	1.80537e-05	5398.79
3	1.80537e-05	2.76165e-05	2234.45
4	2.76165e-05	3.97881e-05	1150.94
5	3.97881e-05	5.52802e-05	778.874
6	5.52802e-05	7.49986e-05	675.628
7	7.49986e-05	0.000100096	683.023
8	0.000100096	0.000132041	738.041
9	0.000132041	0.0001727	811.777
10	0.0001727	0.00022445	890.045
11	0.00022445	0.000290319	972.103
12	0.000290319	0.000374157	1051.82
13	0.000374157	0.000480867	1107.58
14	0.000480867	0.000616687	1126.87
15	0.000616687	0.00078956	1116.36
16	0.00078956	0.00100959	1092.98
17	0.00100959	0.00128965	1064.63
18	0.00128965	0.00164611	1027.14
19	0.00164611	0.00209982	967.395
20	0.00209982	0.0026773	874.504
21	0.0026773	0.00341231	749.789
22	0.00341231	0.00434784	604.698
23	0.00434784	0.00553859	454.891
24	0.00553859	0.00705419	317.1
25	0.00705419	0.00898324	208.995
26	0.00898324	0.0114385	140.741
27	0.0114385	0.0145637	104.25
28	0.0145637	0.0185413	104.25
29	0.0185413	0.0236041	90.0504
30	0.0236041	0.0300481	90.0504
31	0.0300481	inf	90.0504
