time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	357.185
1	2.71271e-06	6.23343e-06	357.185
2	6.23343e-06	1.08029e-05	7678.23
3	1.08029e-05	1.67334e-05	6240.04
4	1.67334e-05	2.44304e-05	3376.3
5	2.44304e-05	3.44201e-05	1733.48
6	3.44201e-05	4.73853e-05	1019.98
7	4.73853e-05	6.42125e-05	747.057
8	6.42125e-05	8.60519e-05	680.972
9	8.60519e-05	0.000114397	711.727
10	0.000114397	0.000151184	780.039
11	0.000151184	0.000198929	858.352
12	0.000198929	0.000260896	937.96
13	0.000260896	0.000341321	1014.31
14	0.000341321	0.000445702	1085.11
15	0.000445702	0.000581173	1143.21
16	0.000581173	0.000756998	1181.56
17	0.000756998	0.000985194	1200.38
18	0.000985194	0.00128136	1203.43
19	0.00128136	0.00166575	1186.98
20	0.00166575	0.00216463	1123.32
21	0.00216463	0.00281211	997.679
22	0.00281211	0.00365246	829.226
23	0.00365246	0.00474311	644.36
24	0.00474311	0.00615864	461.868
25	0.00615864	0.0079958	300.467
26	0.0079958	0.0103802	184.797
27	0.0103802	0.0134748	105.156
28	0.0134748	0.0174912	105.156
29	0.0174912	0.0227039	93.1623
30	0.0227039	0.0294694	93.1623
31	0.0294694	inf	93.1623
