time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	305.474
1	4.63768e-06	1.05405e-05	305.474
2	1.05405e-05	1.80537e-05	1089.98
3	1.80537e-05	2.76165e-05	777.591
4	2.76165e-05	3.97881e-05	548.154
5	3.97881e-05	5.52802e-05	489.597
6	5.52802e-05	7.49986e-05	545.472
7	7.49986e-05	0.000100096	639.956
8	0.000100096	0.000132041	733.452
9	0.000132041	0.0001727	819.043
10	0.0001727	0.00022445	898.262
11	0.00022445	0.000290319	976.314
12	0.000290319	0.000374157	1048.86
13	0.000374157	0.000480867	1103.96
14	0.000480867	0.000616687	1129.3
15	0.000616687	0.00078956	1122.77
16	0.00078956	0.00100959	1095.31
17	0.00100959	0.00128965	1058.71
18	0.00128965	0.00164611	1012.82
19	0.00164611	0.00209982	945.577
20	0.00209982	0.0026773	847.973
21	0.0026773	0.00341231	722.695
22	0.00341231	0.00434784	581.198
23	0.00434784	0.00553859	438.991
24	0.00553859	0.00705419	309.619
25	0.00705419	0.00898324	209.674
26	0.00898324	0.0114385	146.852
27	0.0114385	0.0145637	110.144
28	0.0145637	0.0185413	110.144
29	0.0185413	0.0236041	118.607
30	0.0236041	0.0300481	118.607
31	0.0300481	inf	118.607
