time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	161.099
1	2.71271e-06	6.23343e-06	161.099
2	6.23343e-06	1.08029e-05	3949.17
3	1.08029e-05	1.67334e-05	6689.41
4	1.67334e-05	2.44304e-05	5638.87
5	2.44304e-05	3.44201e-05	3497.32
6	3.44201e-05	4.73853e-05	2070.41
7	4.73853e-05	6.42125e-05	1357.12
8	6.42125e-05	8.60519e-05	1035.24
9	8.60519e-05	0.000114397	908.32
10	0.000114397	0.000151184	885.466
11	0.000151184	0.000198929	914.129
12	0.000198929	0.000260896	961.332
13	0.000260896	0.000341321	1021.85
14	0.000341321	0.000445702	1089.12
15	0.000445702	0.000581173	1149.84
16	0.000581173	0.000756998	1194.83
17	0.000756998	0.000985194	1216.38
18	0.000985194	0.00128136	1211.89
19	0.00128136	0.00166575	1173.91
20	0.00166575	0.00216463	1090.43
21	0.00216463	0.00281211	956.897
22	0.00281211	0.00365246	787.467
23	0.00365246	0.00474311	608.737
24	0.00474311	0.00615864	442.426
25	0.00615864	0.0079958	307.239
26	0.0079958	0.0103802	218.471
27	0.0103802	0.0134748	186.214
28	0.0134748	0.0174912	186.214
29	0.0174912	0.0227039	13.6751
30	0.0227039	0.0294694	13.6751
31	0.0294694	inf	13.6751
