time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	3045.02
1	4.63768e-06	1.05405e-05	3045.02
2	1.05405e-05	1.80537e-05	8157.26
3	1.80537e-05	2.76165e-05	4710.64
4	2.76165e-05	3.97881e-05	2461.52
5	3.97881e-05	5.52802e-05	1419.88
6	5.52802e-05	7.49986e-05	1016.91
7	7.49986e-05	0.000100096	883.028
8	0.000100096	0.000132041	856.928
9	0.000132041	0.0001727	879.76
10	0.0001727	0.00022445	926.759
11	0.00022445	0.000290319	981.637
12	0.000290319	0.000374157	1036.56
13	0.000374157	0.000480867	1080.51
14	0.000480867	0.000616687	1098.66
15	0.000616687	0.00078956	1090.19
16	0.00078956	0.00100959	1063.74
17	0.00100959	0.00128965	1026.06
18	0.00128965	0.00164611	977.735
19	0.00164611	0.00209982	909.633
20	0.00209982	0.0026773	813.473
21	0.0026773	0.00341231	694.501
22	0.00341231	0.00434784	565.788
23	0.00434784	0.00553859	437.459
24	0.00553859	0.00705419	317.802
25	0.00705419	0.00898324	220.53
26	0.00898324	0.0114385	155.127
27	0.0114385	0.0145637	116.871
28	0.0145637	0.0185413	116.871
29	0.0185413	0.0236041	72.9602
30	0.0236041	0.0300481	72.9602
31	0.0300481	inf	72.9602
