time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	135.657
1	4.63768e-06	1.05405e-05	135.657
2	1.05405e-05	1.80537e-05	538.465
3	1.80537e-05	2.76165e-05	474.179
4	2.76165e-05	3.97881e-05	444.475
5	3.97881e-05	5.52802e-05	481.997
6	5.52802e-05	7.49986e-05	555.56
7	7.49986e-05	0.000100096	633.124
8	0.000100096	0.000132041	716.138
9	0.000132041	0.0001727	804.465
10	0.0001727	0.00022445	891.839
11	0.00022445	0.000290319	973.913
12	0.000290319	0.000374157	1048.91
13	0.000374157	0.000480867	1107.02
14	0.000480867	0.000616687	1135.82
15	0.000616687	0.00078956	1133.82
16	0.00078956	0.00100959	1113.43
17	0.00100959	0.00128965	1077.91
18	0.00128965	0.00164611	1030.31
19	0.00164611	0.00209982	960.942
20	0.00209982	0.0026773	857.571
21	0.0026773	0.00341231	720.326
22	0.00341231	0.00434784	567.758
23	0.00434784	0.00553859	423.591
24	0.00553859	0.00705419	303.339
25	0.00705419	0.00898324	213.401
26	0.00898324	0.0114385	154.213
27	0.0114385	0.0145637	117.501
28	0.0145637	0.0185413	117.501
29	0.0185413	0.0236041	118.542
30	0.0236041	0.0300481	118.542
31	0.0300481	inf	118.542
