time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	13119
1	2.71271e-06	6.23343e-06	13119
2	6.23343e-06	1.08029e-05	8483.07
3	1.08029e-05	1.67334e-05	7252.06
4	1.67334e-05	2.44304e-05	5217.15
5	2.44304e-05	3.44201e-05	3087.31
6	3.44201e-05	4.73853e-05	1801
7	4.73853e-05	6.42125e-05	1206.12
8	6.42125e-05	8.60519e-05	961.889
9	8.60519e-05	0.000114397	877.81
10	0.000114397	0.000151184	876.093
11	0.000151184	0.000198929	918.088
12	0.000198929	0.000260896	971.179
13	0.000260896	0.000341321	1022.38
14	0.000341321	0.000445702	1064.56
15	0.000445702	0.000581173	1090.75
16	0.000581173	0.000756998	1095.77
17	0.000756998	0.000985194	1079.89
18	0.000985194	0.00128136	1045.29
19	0.00128136	0.00166575	997.756
20	0.00166575	0.00216463	929.854
21	0.00216463	0.00281211	828.283
22	0.00281211	0.00365246	696.723
23	0.00365246	0.00474311	551.548
24	0.00474311	0.00615864	406.619
25	0.00615864	0.0079958	281.976
26	0.0079958	0.0103802	193.558
27	0.0103802	0.0134748	125.687
28	0.0134748	0.0174912	125.687
29	0.0174912	0.0227039	101.504
30	0.0227039	0.0294694	101.504
31	0.0294694	inf	101.504
