time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	147.507
1	4.63768e-06	1.05405e-05	147.507
2	1.05405e-05	1.80537e-05	1128.6
3	1.80537e-05	2.76165e-05	2181.1
4	2.76165e-05	3.97881e-05	1825.01
5	3.97881e-05	5.52802e-05	1241.32
6	5.52802e-05	7.49986e-05	917.754
7	7.49986e-05	0.000100096	792.235
8	0.000100096	0.000132041	777.38
9	0.000132041	0.0001727	816.59
10	0.0001727	0.00022445	885.697
11	0.00022445	0.000290319	971.735
12	0.000290319	0.000374157	1053.83
13	0.000374157	0.000480867	1111.67
14	0.000480867	0.000616687	1135.65
15	0.000616687	0.00078956	1128.97
16	0.00078956	0.00100959	1104.97
17	0.00100959	0.00128965	1071.2
18	0.00128965	0.00164611	1025.04
19	0.00164611	0.00209982	958.741
20	0.00209982	0.0026773	860.398
21	0.0026773	0.00341231	728.711
22	0.00341231	0.00434784	580.442
23	0.00434784	0.00553859	436.477
24	0.00553859	0.00705419	311.999
25	0.00705419	0.00898324	217.528
26	0.00898324	0.0114385	156.262
27	0.0114385	0.0145637	118.418
28	0.0145637	0.0185413	118.418
29	0.0185413	0.0236041	83.5229
30	0.0236041	0.0300481	83.5229
31	0.0300481	inf	83.5229
