time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	1498.62
1	2.71271e-06	6.23343e-06	1498.62
2	6.23343e-06	1.08029e-05	6332.83
3	1.08029e-05	1.67334e-05	2773.26
4	1.67334e-05	2.44304e-05	1359.61
5	2.44304e-05	3.44201e-05	777.293
6	3.44201e-05	4.73853e-05	567.14
7	4.73853e-05	6.42125e-05	537.971
8	6.42125e-05	8.60519e-05	596.994
9	8.60519e-05	0.000114397	678.206
10	0.000114397	0.000151184	755.86
11	0.000151184	0.000198929	836.438
12	0.000198929	0.000260896	921.598
13	0.000260896	0.000341321	1009.21
14	0.000341321	0.000445702	1095
15	0.000445702	0.000581173	1168.42
16	0.000581173	0.000756998	1223.6
17	0.000756998	0.000985194	1258.05
18	0.000985194	0.00128136	1270.44
19	0.00128136	0.00166575	1239.16
20	0.00166575	0.00216463	1152.4
21	0.00216463	0.00281211	1009.02
22	0.00281211	0.00365246	827.496
23	0.00365246	0.00474311	632.788
24	0.00474311	0.00615864	445.918
25	0.00615864	0.0079958	289.013
26	0.0079958	0.0103802	179.306
27	0.0103802	0.0134748	105.444
28	0.0134748	0.0174912	105.444
29	0.0174912	0.0227039	43.6095
30	0.0227039	0.0294694	43.6095
31	0.0294694	inf	43.6095
