time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	0.392201
1	2.71271e-06	6.23343e-06	0.392201
2	6.23343e-06	1.08029e-05	103.279
3	1.08029e-05	1.67334e-05	647.061
4	1.67334e-05	2.44304e-05	1131.29
5	2.44304e-05	3.44201e-05	1019.37
6	3.44201e-05	4.73853e-05	769.775
7	4.73853e-05	6.42125e-05	650.065
8	6.42125e-05	8.60519e-05	644.312
9	8.60519e-05	0.000114397	702.67
10	0.000114397	0.000151184	787.089
11	0.000151184	0.000198929	871.381
12	0.000198929	0.000260896	945.94
13	0.000260896	0.000341321	1017.15
14	0.000341321	0.000445702	1088.43
15	0.000445702	0.000581173	1148.12
16	0.000581173	0.000756998	1185.18
17	0.000756998	0.000985194	1199.34
18	0.000985194	0.00128136	1194.16
19	0.00128136	0.00166575	1160.53
20	0.00166575	0.00216463	1086.31
21	0.00216463	0.00281211	967.17
22	0.00281211	0.00365246	808.812
23	0.00365246	0.00474311	628.695
24	0.00474311	0.00615864	446.346
25	0.00615864	0.0079958	286.115
26	0.0079958	0.0103802	173.633
27	0.0103802	0.0134748	98.7271
28	0.0134748	0.0174912	98.7271
29	0.0174912	0.0227039	81.4474
30	0.0227039	0.0294694	81.4474
31	0.0294694	inf	81.4474
