time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	68.8194
1	2.71271e-06	6.23343e-06	68.8194
2	6.23343e-06	1.08029e-05	2072.67
3	1.08029e-05	1.67334e-05	2967.89
4	1.67334e-05	2.44304e-05	2172.96
5	2.44304e-05	3.44201e-05	1359.11
6	3.44201e-05	4.73853e-05	908.048
7	4.73853e-05	6.42125e-05	729.761
8	6.42125e-05	8.60519e-05	699.672
9	8.60519e-05	0.000114397	732.959
10	0.000114397	0.000151184	792.725
11	0.000151184	0.000198929	861.863
12	0.000198929	0.000260896	929.983
13	0.000260896	0.000341321	1006.28
14	0.000341321	0.000445702	1090.79
15	0.000445702	0.000581173	1174.69
16	0.000581173	0.000756998	1248.32
17	0.000756998	0.000985194	1299.88
18	0.000985194	0.00128136	1315.39
19	0.00128136	0.00166575	1275.01
20	0.00166575	0.00216463	1169.95
21	0.00216463	0.00281211	1010.9
22	0.00281211	0.00365246	823.792
23	0.00365246	0.00474311	630.639
24	0.00474311	0.00615864	448.656
25	0.00615864	0.0079958	303.492
26	0.0079958	0.0103802	212.96
27	0.0103802	0.0134748	241.879
28	0.0134748	0.0174912	241.879
29	0.0174912	0.0227039	3.92379
30	0.0227039	0.0294694	3.92379
31	0.0294694	inf	3.92379
