time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	652.651
1	4.63768e-06	1.05405e-05	652.651
2	1.05405e-05	1.80537e-05	861.214
3	1.80537e-05	2.76165e-05	632.045
4	2.76165e-05	3.97881e-05	548.988
5	3.97881e-05	5.52802e-05	525.21
6	5.52802e-05	7.49986e-05	560.372
7	7.49986e-05	0.000100096	648.087
8	0.000100096	0.000132041	747.468
9	0.000132041	0.0001727	833.393
10	0.0001727	0.00022445	907.147
11	0.00022445	0.000290319	978.403
12	0.000290319	0.000374157	1046.17
13	0.000374157	0.000480867	1098.45
14	0.000480867	0.000616687	1121.91
15	0.000616687	0.00078956	1108.78
16	0.00078956	0.00100959	1067.39
17	0.00100959	0.00128965	1017.19
18	0.00128965	0.00164611	963.053
19	0.00164611	0.00209982	893.63
20	0.00209982	0.0026773	800.76
21	0.0026773	0.00341231	685.589
22	0.00341231	0.00434784	557.206
23	0.00434784	0.00553859	430.802
24	0.00553859	0.00705419	319.522
25	0.00705419	0.00898324	231.153
26	0.00898324	0.0114385	168.419
27	0.0114385	0.0145637	122.542
28	0.0145637	0.0185413	122.542
29	0.0185413	0.0236041	78.7142
30	0.0236041	0.0300481	78.7142
31	0.0300481	inf	78.7142
