time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	324.546
1	4.63768e-06	1.05405e-05	324.546
2	1.05405e-05	1.80537e-05	877.633
3	1.80537e-05	2.76165e-05	645.255
4	2.76165e-05	3.97881e-05	538.721
5	3.97881e-05	5.52802e-05	526.14
6	5.52802e-05	7.49986e-05	574.831
7	7.49986e-05	0.000100096	649.26
8	0.000100096	0.000132041	737.142
9	0.000132041	0.0001727	827.23
10	0.0001727	0.00022445	907.527
11	0.00022445	0.000290319	981.35
12	0.000290319	0.000374157	1050.75
13	0.000374157	0.000480867	1103.93
14	0.000480867	0.000616687	1123.07
15	0.000616687	0.00078956	1101.44
16	0.00078956	0.00100959	1051.18
17	0.00100959	0.00128965	992.697
18	0.00128965	0.00164611	933.881
19	0.00164611	0.00209982	865.728
20	0.00209982	0.0026773	776.355
21	0.0026773	0.00341231	665.538
22	0.00341231	0.00434784	544.174
23	0.00434784	0.00553859	424.145
24	0.00553859	0.00705419	313.707
25	0.00705419	0.00898324	223.957
26	0.00898324	0.0114385	162.216
27	0.0114385	0.0145637	119.13
28	0.0145637	0.0185413	119.13
29	0.0185413	0.0236041	88.8105
30	0.0236041	0.0300481	88.8105
31	0.0300481	inf	88.8105
