time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	24.1687
1	2.71271e-06	6.23343e-06	24.1687
2	6.23343e-06	1.08029e-05	295.868
3	1.08029e-05	1.67334e-05	506.475
4	1.67334e-05	2.44304e-05	553.078
5	2.44304e-05	3.44201e-05	485.164
6	3.44201e-05	4.73853e-05	462.249
7	4.73853e-05	6.42125e-05	497.8
8	6.42125e-05	8.60519e-05	562.77
9	8.60519e-05	0.000114397	644.864
10	0.000114397	0.000151184	736.101
11	0.000151184	0.000198929	831.415
12	0.000198929	0.000260896	923.222
13	0.000260896	0.000341321	1008.75
14	0.000341321	0.000445702	1085.73
15	0.000445702	0.000581173	1143.42
16	0.000581173	0.000756998	1170.2
17	0.000756998	0.000985194	1171.53
18	0.000985194	0.00128136	1159.09
19	0.00128136	0.00166575	1127.25
20	0.00166575	0.00216463	1058.03
21	0.00216463	0.00281211	944.346
22	0.00281211	0.00365246	794.098
23	0.00365246	0.00474311	621.069
24	0.00474311	0.00615864	443.211
25	0.00615864	0.0079958	291.681
26	0.0079958	0.0103802	189.771
27	0.0103802	0.0134748	121.301
28	0.0134748	0.0174912	121.301
29	0.0174912	0.0227039	79.7039
30	0.0227039	0.0294694	79.7039
31	0.0294694	inf	79.7039
