time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	8.08682
1	4.63768e-06	1.05405e-05	8.08682
2	1.05405e-05	1.80537e-05	629.645
3	1.80537e-05	2.76165e-05	849.01
4	2.76165e-05	3.97881e-05	730.647
5	3.97881e-05	5.52802e-05	647.722
6	5.52802e-05	7.49986e-05	629.727
7	7.49986e-05	0.000100096	664.716
8	0.000100096	0.000132041	737.393
9	0.000132041	0.0001727	822.599
10	0.0001727	0.00022445	905.494
11	0.00022445	0.000290319	988.428
12	0.000290319	0.000374157	1063.81
13	0.000374157	0.000480867	1112.55
14	0.000480867	0.000616687	1123.71
15	0.000616687	0.00078956	1101.32
16	0.00078956	0.00100959	1058.29
17	0.00100959	0.00128965	1007.36
18	0.00128965	0.00164611	952.794
19	0.00164611	0.00209982	885.341
20	0.00209982	0.0026773	792.668
21	0.0026773	0.00341231	673.379
22	0.00341231	0.00434784	543.589
23	0.00434784	0.00553859	419.215
24	0.00553859	0.00705419	308.212
25	0.00705419	0.00898324	219.388
26	0.00898324	0.0114385	159.25
27	0.0114385	0.0145637	120.279
28	0.0145637	0.0185413	120.279
29	0.0185413	0.0236041	138.082
30	0.0236041	0.0300481	138.082
31	0.0300481	inf	138.082
