time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	2131.77
1	4.63768e-06	1.05405e-05	2131.77
2	1.05405e-05	1.80537e-05	3391.3
3	1.80537e-05	2.76165e-05	1316.18
4	2.76165e-05	3.97881e-05	748.887
5	3.97881e-05	5.52802e-05	609.692
6	5.52802e-05	7.49986e-05	610.442
7	7.49986e-05	0.000100096	666.236
8	0.000100096	0.000132041	745.936
9	0.000132041	0.0001727	824.263
10	0.0001727	0.00022445	900.84
11	0.00022445	0.000290319	976.495
12	0.000290319	0.000374157	1045.52
13	0.000374157	0.000480867	1094.23
14	0.000480867	0.000616687	1110.9
15	0.000616687	0.00078956	1095.37
16	0.00078956	0.00100959	1056.42
17	0.00100959	0.00128965	1004.35
18	0.00128965	0.00164611	943.037
19	0.00164611	0.00209982	868.395
20	0.00209982	0.0026773	773.944
21	0.0026773	0.00341231	661.067
22	0.00341231	0.00434784	541.808
23	0.00434784	0.00553859	428.047
24	0.00553859	0.00705419	327.351
25	0.00705419	0.00898324	249.084
26	0.00898324	0.0114385	198.315
27	0.0114385	0.0145637	176.293
28	0.0145637	0.0185413	176.293
29	0.0185413	0.0236041	35.4206
30	0.0236041	0.0300481	35.4206
31	0.0300481	inf	35.4206
