time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	29.0081
1	4.63768e-06	1.05405e-05	29.0081
2	1.05405e-05	1.80537e-05	350.611
3	1.80537e-05	2.76165e-05	309.111
4	2.76165e-05	3.97881e-05	275.95
5	3.97881e-05	5.52802e-05	290.615
6	5.52802e-05	7.49986e-05	355.49
7	7.49986e-05	0.000100096	444.516
8	0.000100096	0.000132041	540.79
9	0.000132041	0.0001727	637.104
10	0.0001727	0.00022445	726.201
11	0.00022445	0.000290319	803.601
12	0.000290319	0.000374157	865.807
13	0.000374157	0.000480867	907.152
14	0.000480867	0.000616687	926.471
15	0.000616687	0.00078956	927.328
16	0.00078956	0.00100959	918.696
17	0.00100959	0.00128965	909.931
18	0.00128965	0.00164611	900.347
19	0.00164611	0.00209982	877.448
20	0.00209982	0.0026773	825.238
21	0.0026773	0.00341231	734.198
22	0.00341231	0.00434784	605.224
23	0.00434784	0.00553859	466.017
24	0.00553859	0.00705419	336.056
25	0.00705419	0.00898324	232.351
26	0.00898324	0.0114385	164.26
27	0.0114385	0.0145637	124.055
28	0.0145637	0.0185413	124.055
29	0.0185413	0.0236041	141.704
30	0.0236041	0.0300481	141.704
31	0.0300481	inf	141.704
