time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	54.0624
1	4.63768e-06	1.05405e-05	54.0624
2	1.05405e-05	1.80537e-05	399.609
3	1.80537e-05	2.76165e-05	626.085
4	2.76165e-05	3.97881e-05	640.617
5	3.97881e-05	5.52802e-05	595.659
6	5.52802e-05	7.49986e-05	604.866
7	7.49986e-05	0.000100096	668.369
8	0.000100096	0.000132041	754.262
9	0.000132041	0.0001727	838.761
10	0.0001727	0.00022445	920.232
11	0.00022445	0.000290319	993.516
12	0.000290319	0.000374157	1053.65
13	0.000374157	0.000480867	1100.97
14	0.000480867	0.000616687	1132.15
15	0.000616687	0.00078956	1136.49
16	0.00078956	0.00100959	1115.05
17	0.00100959	0.00128965	1080.62
18	0.00128965	0.00164611	1036.82
19	0.00164611	0.00209982	971.73
20	0.00209982	0.0026773	873.31
21	0.0026773	0.00341231	745.686
22	0.00341231	0.00434784	602.473
23	0.00434784	0.00553859	457.059
24	0.00553859	0.00705419	324.553
25	0.00705419	0.00898324	220.79
26	0.00898324	0.0114385	152.743
27	0.0114385	0.0145637	110.653
28	0.0145637	0.0185413	110.653
29	0.0185413	0.0236041	108.052
30	0.0236041	0.0300481	108.052
31	0.0300481	inf	108.052
