time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	0.392166
1	2.71271e-06	6.23343e-06	0.392166
2	6.23343e-06	1.08029e-05	139.931
3	1.08029e-05	1.67334e-05	547.928
4	1.67334e-05	2.44304e-05	642.022
5	2.44304e-05	3.44201e-05	573.371
6	3.44201e-05	4.73853e-05	543.569
7	4.73853e-05	6.42125e-05	562.193
8	6.42125e-05	8.60519e-05	608.998
9	8.60519e-05	0.000114397	675.202
10	0.000114397	0.000151184	755.063
11	0.000151184	0.000198929	840.341
12	0.000198929	0.000260896	925.62
13	0.000260896	0.000341321	1010.03
14	0.000341321	0.000445702	1089.55
15	0.000445702	0.000581173	1155.65
16	0.000581173	0.000756998	1200.77
17	0.000756998	0.000985194	1226.7
18	0.000985194	0.00128136	1228.19
19	0.00128136	0.00166575	1190.76
20	0.00166575	0.00216463	1104.1
21	0.00216463	0.00281211	968.413
22	0.00281211	0.00365246	799.715
23	0.00365246	0.00474311	625.342
24	0.00474311	0.00615864	461.597
25	0.00615864	0.0079958	319.128
26	0.0079958	0.0103802	211.295
27	0.0103802	0.0134748	126.144
28	0.0134748	0.0174912	126.144
29	0.0174912	0.0227039	39.2639
30	0.0227039	0.0294694	39.2639
31	0.0294694	inf	39.2639
