time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	6.07322
1	2.71271e-06	6.23343e-06	6.07322
2	6.23343e-06	1.08029e-05	711.387
3	1.08029e-05	1.67334e-05	982.45
4	1.67334e-05	2.44304e-05	832.147
5	2.44304e-05	3.44201e-05	654.424
6	3.44201e-05	4.73853e-05	570.671
7	4.73853e-05	6.42125e-05	549.129
8	6.42125e-05	8.60519e-05	580.548
9	8.60519e-05	0.000114397	656.28
10	0.000114397	0.000151184	755.286
11	0.000151184	0.000198929	847.972
12	0.000198929	0.000260896	927.427
13	0.000260896	0.000341321	1004.5
14	0.000341321	0.000445702	1080
15	0.000445702	0.000581173	1150.24
16	0.000581173	0.000756998	1209.26
17	0.000756998	0.000985194	1245.52
18	0.000985194	0.00128136	1251.47
19	0.00128136	0.00166575	1220.36
20	0.00166575	0.00216463	1137.89
21	0.00216463	0.00281211	999.483
22	0.00281211	0.00365246	823.099
23	0.00365246	0.00474311	632.802
24	0.00474311	0.00615864	454.109
25	0.00615864	0.0079958	305.055
26	0.0079958	0.0103802	198.422
27	0.0103802	0.0134748	117.521
28	0.0134748	0.0174912	117.521
29	0.0174912	0.0227039	51.2551
30	0.0227039	0.0294694	51.2551
31	0.0294694	inf	51.2551
