time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	42.4545
1	2.71271e-06	6.23343e-06	42.4545
2	6.23343e-06	1.08029e-05	112.09
3	1.08029e-05	1.67334e-05	230.991
4	1.67334e-05	2.44304e-05	400.164
5	2.44304e-05	3.44201e-05	411.728
6	3.44201e-05	4.73853e-05	398.836
7	4.73853e-05	6.42125e-05	435.125
8	6.42125e-05	8.60519e-05	508.958
9	8.60519e-05	0.000114397	601.307
10	0.000114397	0.000151184	695.863
11	0.000151184	0.000198929	781.373
12	0.000198929	0.000260896	862.196
13	0.000260896	0.000341321	944.198
14	0.000341321	0.000445702	1016.09
15	0.000445702	0.000581173	1056.98
16	0.000581173	0.000756998	1061.92
17	0.000756998	0.000985194	1042.07
18	0.000985194	0.00128136	1013.36
19	0.00128136	0.00166575	980.923
20	0.00166575	0.00216463	931.386
21	0.00216463	0.00281211	849.17
22	0.00281211	0.00365246	727.709
23	0.00365246	0.00474311	574.881
24	0.00474311	0.00615864	416.237
25	0.00615864	0.0079958	278.612
26	0.0079958	0.0103802	182.367
27	0.0103802	0.0134748	123.517
28	0.0134748	0.0174912	123.517
29	0.0174912	0.0227039	75.7825
30	0.0227039	0.0294694	75.7825
31	0.0294694	inf	75.7825
