time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	120.883
1	4.63768e-06	1.05405e-05	120.883
2	1.05405e-05	1.80537e-05	554.248
3	1.80537e-05	2.76165e-05	482.425
4	2.76165e-05	3.97881e-05	486.958
5	3.97881e-05	5.52802e-05	523.725
6	5.52802e-05	7.49986e-05	580.452
7	7.49986e-05	0.000100096	654.112
8	0.000100096	0.000132041	731.802
9	0.000132041	0.0001727	810.324
10	0.0001727	0.00022445	894.209
11	0.00022445	0.000290319	981.329
12	0.000290319	0.000374157	1058.06
13	0.000374157	0.000480867	1106.36
14	0.000480867	0.000616687	1120.08
15	0.000616687	0.00078956	1101.21
16	0.00078956	0.00100959	1058.96
17	0.00100959	0.00128965	1006
18	0.00128965	0.00164611	947.044
19	0.00164611	0.00209982	875.753
20	0.00209982	0.0026773	783.484
21	0.0026773	0.00341231	668.567
22	0.00341231	0.00434784	540.44
23	0.00434784	0.00553859	416.198
24	0.00553859	0.00705419	307.949
25	0.00705419	0.00898324	223.738
26	0.00898324	0.0114385	167.554
27	0.0114385	0.0145637	132.903
28	0.0145637	0.0185413	132.903
29	0.0185413	0.0236041	124.402
30	0.0236041	0.0300481	124.402
31	0.0300481	inf	124.402
