time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	15.9626
1	2.71271e-06	6.23343e-06	15.9626
2	6.23343e-06	1.08029e-05	85.7659
3	1.08029e-05	1.67334e-05	254.763
4	1.67334e-05	2.44304e-05	416.102
5	2.44304e-05	3.44201e-05	442.033
6	3.44201e-05	4.73853e-05	451.047
7	4.73853e-05	6.42125e-05	494.942
8	6.42125e-05	8.60519e-05	566.618
9	8.60519e-05	0.000114397	648.583
10	0.000114397	0.000151184	734.639
11	0.000151184	0.000198929	827.581
12	0.000198929	0.000260896	920.683
13	0.000260896	0.000341321	1008.21
14	0.000341321	0.000445702	1084.36
15	0.000445702	0.000581173	1137.78
16	0.000581173	0.000756998	1161.05
17	0.000756998	0.000985194	1164.38
18	0.000985194	0.00128136	1157.9
19	0.00128136	0.00166575	1133.92
20	0.00166575	0.00216463	1071.03
21	0.00216463	0.00281211	955.193
22	0.00281211	0.00365246	795.535
23	0.00365246	0.00474311	611.229
24	0.00474311	0.00615864	425.479
25	0.00615864	0.0079958	270.55
26	0.0079958	0.0103802	167.592
27	0.0103802	0.0134748	99.203
28	0.0134748	0.0174912	99.203
29	0.0174912	0.0227039	81.4973
30	0.0227039	0.0294694	81.4973
31	0.0294694	inf	81.4973
