time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	29.8525
1	2.71271e-06	6.23343e-06	29.8525
2	6.23343e-06	1.08029e-05	59.8966
3	1.08029e-05	1.67334e-05	266.614
4	1.67334e-05	2.44304e-05	439.743
5	2.44304e-05	3.44201e-05	491.331
6	3.44201e-05	4.73853e-05	485.119
7	4.73853e-05	6.42125e-05	502.847
8	6.42125e-05	8.60519e-05	561.697
9	8.60519e-05	0.000114397	650.162
10	0.000114397	0.000151184	751.372
11	0.000151184	0.000198929	851.776
12	0.000198929	0.000260896	943.559
13	0.000260896	0.000341321	1018.92
14	0.000341321	0.000445702	1075.37
15	0.000445702	0.000581173	1108.77
16	0.000581173	0.000756998	1113.17
17	0.000756998	0.000985194	1091.67
18	0.000985194	0.00128136	1058.07
19	0.00128136	0.00166575	1019.04
20	0.00166575	0.00216463	957.972
21	0.00216463	0.00281211	854.536
22	0.00281211	0.00365246	713.594
23	0.00365246	0.00474311	557.027
24	0.00474311	0.00615864	405.174
25	0.00615864	0.0079958	274.996
26	0.0079958	0.0103802	180.996
27	0.0103802	0.0134748	115.844
28	0.0134748	0.0174912	115.844
29	0.0174912	0.0227039	74.1791
30	0.0227039	0.0294694	74.1791
31	0.0294694	inf	74.1791
