time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	6.83116
1	4.63768e-06	1.05405e-05	6.83116
2	1.05405e-05	1.80537e-05	449.645
3	1.80537e-05	2.76165e-05	498.064
4	2.76165e-05	3.97881e-05	469.692
5	3.97881e-05	5.52802e-05	500.304
6	5.52802e-05	7.49986e-05	580.742
7	7.49986e-05	0.000100096	659.068
8	0.000100096	0.000132041	735.448
9	0.000132041	0.0001727	815.24
10	0.0001727	0.00022445	897.033
11	0.00022445	0.000290319	977.342
12	0.000290319	0.000374157	1049.7
13	0.000374157	0.000480867	1102.56
14	0.000480867	0.000616687	1124.4
15	0.000616687	0.00078956	1112.14
16	0.00078956	0.00100959	1077.52
17	0.00100959	0.00128965	1034.38
18	0.00128965	0.00164611	985.672
19	0.00164611	0.00209982	920.927
20	0.00209982	0.0026773	827.573
21	0.0026773	0.00341231	703.944
22	0.00341231	0.00434784	564.423
23	0.00434784	0.00553859	428.606
24	0.00553859	0.00705419	311.053
25	0.00705419	0.00898324	221.989
26	0.00898324	0.0114385	162.278
27	0.0114385	0.0145637	118.675
28	0.0145637	0.0185413	118.675
29	0.0185413	0.0236041	106.616
30	0.0236041	0.0300481	106.616
31	0.0300481	inf	106.616
