time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	97.6266
1	2.71271e-06	6.23343e-06	97.6266
2	6.23343e-06	1.08029e-05	304.027
3	1.08029e-05	1.67334e-05	594.189
4	1.67334e-05	2.44304e-05	603.243
5	2.44304e-05	3.44201e-05	490.509
6	3.44201e-05	4.73853e-05	438.446
7	4.73853e-05	6.42125e-05	470.873
8	6.42125e-05	8.60519e-05	551.754
9	8.60519e-05	0.000114397	643.436
10	0.000114397	0.000151184	730.811
11	0.000151184	0.000198929	813.812
12	0.000198929	0.000260896	898.487
13	0.000260896	0.000341321	986.524
14	0.000341321	0.000445702	1075.12
15	0.000445702	0.000581173	1156.73
16	0.000581173	0.000756998	1216.69
17	0.000756998	0.000985194	1248.8
18	0.000985194	0.00128136	1254.25
19	0.00128136	0.00166575	1221.23
20	0.00166575	0.00216463	1137.8
21	0.00216463	0.00281211	1007.86
22	0.00281211	0.00365246	839.937
23	0.00365246	0.00474311	650.301
24	0.00474311	0.00615864	462.191
25	0.00615864	0.0079958	303.667
26	0.0079958	0.0103802	195.52
27	0.0103802	0.0134748	133.402
28	0.0134748	0.0174912	133.402
29	0.0174912	0.0227039	13.3716
30	0.0227039	0.0294694	13.3716
31	0.0294694	inf	13.3716
