time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	6145.76
1	4.63768e-06	1.05405e-05	6145.76
2	1.05405e-05	1.80537e-05	2827.8
3	1.80537e-05	2.76165e-05	1151.49
4	2.76165e-05	3.97881e-05	722.846
5	3.97881e-05	5.52802e-05	597.637
6	5.52802e-05	7.49986e-05	588.121
7	7.49986e-05	0.000100096	641.13
8	0.000100096	0.000132041	731.587
9	0.000132041	0.0001727	829.919
10	0.0001727	0.00022445	918.081
11	0.00022445	0.000290319	994.335
12	0.000290319	0.000374157	1057.69
13	0.000374157	0.000480867	1104.13
14	0.000480867	0.000616687	1127.67
15	0.000616687	0.00078956	1118.59
16	0.00078956	0.00100959	1083.98
17	0.00100959	0.00128965	1040.04
18	0.00128965	0.00164611	987.535
19	0.00164611	0.00209982	917.99
20	0.00209982	0.0026773	825.205
21	0.0026773	0.00341231	706.825
22	0.00341231	0.00434784	572.798
23	0.00434784	0.00553859	439.188
24	0.00553859	0.00705419	319.423
25	0.00705419	0.00898324	226.387
26	0.00898324	0.0114385	164.621
27	0.0114385	0.0145637	122.629
28	0.0145637	0.0185413	122.629
29	0.0185413	0.0236041	98.2263
30	0.0236041	0.0300481	98.2263
31	0.0300481	inf	98.2263
