time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	603.06
1	4.63768e-06	1.05405e-05	603.06
2	1.05405e-05	1.80537e-05	1044.68
3	1.80537e-05	2.76165e-05	631.391
4	2.76165e-05	3.97881e-05	538.722
5	3.97881e-05	5.52802e-05	523.869
6	5.52802e-05	7.49986e-05	566.69
7	7.49986e-05	0.000100096	640.687
8	0.000100096	0.000132041	722.015
9	0.000132041	0.0001727	806.114
10	0.0001727	0.00022445	893.295
11	0.00022445	0.000290319	979.451
12	0.000290319	0.000374157	1054.8
13	0.000374157	0.000480867	1108.32
14	0.000480867	0.000616687	1128.19
15	0.000616687	0.00078956	1110.04
16	0.00078956	0.00100959	1065.01
17	0.00100959	0.00128965	1011.52
18	0.00128965	0.00164611	955.199
19	0.00164611	0.00209982	885.453
20	0.00209982	0.0026773	790.964
21	0.0026773	0.00341231	672.657
22	0.00341231	0.00434784	544.381
23	0.00434784	0.00553859	418.4
24	0.00553859	0.00705419	302.558
25	0.00705419	0.00898324	209.791
26	0.00898324	0.0114385	149.55
27	0.0114385	0.0145637	118.054
28	0.0145637	0.0185413	118.054
29	0.0185413	0.0236041	126.028
30	0.0236041	0.0300481	126.028
31	0.0300481	inf	126.028
