time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	0.392161
1	2.71271e-06	6.23343e-06	0.392161
2	6.23343e-06	1.08029e-05	92.6465
3	1.08029e-05	1.67334e-05	413.506
4	1.67334e-05	2.44304e-05	477.639
5	2.44304e-05	3.44201e-05	461.044
6	3.44201e-05	4.73853e-05	455.405
7	4.73853e-05	6.42125e-05	481.448
8	6.42125e-05	8.60519e-05	540.438
9	8.60519e-05	0.000114397	626.946
10	0.000114397	0.000151184	732.031
11	0.000151184	0.000198929	835.257
12	0.000198929	0.000260896	926.332
13	0.000260896	0.000341321	1008.13
14	0.000341321	0.000445702	1083.12
15	0.000445702	0.000581173	1148.63
16	0.000581173	0.000756998	1192.66
17	0.000756998	0.000985194	1208.49
18	0.000985194	0.00128136	1198.9
19	0.00128136	0.00166575	1159.48
20	0.00166575	0.00216463	1075.47
21	0.00216463	0.00281211	947.967
22	0.00281211	0.00365246	786.639
23	0.00365246	0.00474311	606.751
24	0.00474311	0.00615864	429.114
25	0.00615864	0.0079958	279.501
26	0.0079958	0.0103802	179.01
27	0.0103802	0.0134748	118.071
28	0.0134748	0.0174912	118.071
29	0.0174912	0.0227039	78.4103
30	0.0227039	0.0294694	78.4103
31	0.0294694	inf	78.4103
