time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	193.358
1	4.63768e-06	1.05405e-05	193.358
2	1.05405e-05	1.80537e-05	758.296
3	1.80537e-05	2.76165e-05	563.541
4	2.76165e-05	3.97881e-05	488.441
5	3.97881e-05	5.52802e-05	475.6
6	5.52802e-05	7.49986e-05	536.429
7	7.49986e-05	0.000100096	625.326
8	0.000100096	0.000132041	711.427
9	0.000132041	0.0001727	797.531
10	0.0001727	0.00022445	881.307
11	0.00022445	0.000290319	962.234
12	0.000290319	0.000374157	1042.92
13	0.000374157	0.000480867	1116.93
14	0.000480867	0.000616687	1177.71
15	0.000616687	0.00078956	1218.29
16	0.00078956	0.00100959	1233.19
17	0.00100959	0.00128965	1219.81
18	0.00128965	0.00164611	1170.39
19	0.00164611	0.00209982	1082.83
20	0.00209982	0.0026773	964.135
21	0.0026773	0.00341231	821.7
22	0.00341231	0.00434784	663.925
23	0.00434784	0.00553859	503.84
24	0.00553859	0.00705419	358.162
25	0.00705419	0.00898324	245.123
26	0.00898324	0.0114385	172.215
27	0.0114385	0.0145637	129.923
28	0.0145637	0.0185413	129.923
29	0.0185413	0.0236041	19.6435
30	0.0236041	0.0300481	19.6435
31	0.0300481	inf	19.6435
