time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	73.3056
1	2.71271e-06	6.23343e-06	73.3056
2	6.23343e-06	1.08029e-05	974.072
3	1.08029e-05	1.67334e-05	868.015
4	1.67334e-05	2.44304e-05	672.202
5	2.44304e-05	3.44201e-05	532.753
6	3.44201e-05	4.73853e-05	491.742
7	4.73853e-05	6.42125e-05	528.228
8	6.42125e-05	8.60519e-05	609.092
9	8.60519e-05	0.000114397	692.508
10	0.000114397	0.000151184	763.386
11	0.000151184	0.000198929	826.511
12	0.000198929	0.000260896	899.305
13	0.000260896	0.000341321	993.2
14	0.000341321	0.000445702	1096.42
15	0.000445702	0.000581173	1188.66
16	0.000581173	0.000756998	1257.88
17	0.000756998	0.000985194	1300.24
18	0.000985194	0.00128136	1306.57
19	0.00128136	0.00166575	1263.94
20	0.00166575	0.00216463	1165.74
21	0.00216463	0.00281211	1013.78
22	0.00281211	0.00365246	819.331
23	0.00365246	0.00474311	605.742
24	0.00474311	0.00615864	408.524
25	0.00615864	0.0079958	262.027
26	0.0079958	0.0103802	174.304
27	0.0103802	0.0134748	121.894
28	0.0134748	0.0174912	121.894
29	0.0174912	0.0227039	43.0421
30	0.0227039	0.0294694	43.0421
31	0.0294694	inf	43.0421
