time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	24.667
1	2.71271e-06	6.23343e-06	24.667
2	6.23343e-06	1.08029e-05	85.6384
3	1.08029e-05	1.67334e-05	318.984
4	1.67334e-05	2.44304e-05	462.016
5	2.44304e-05	3.44201e-05	452.241
6	3.44201e-05	4.73853e-05	403.495
7	4.73853e-05	6.42125e-05	407.8
8	6.42125e-05	8.60519e-05	461.916
9	8.60519e-05	0.000114397	540.876
10	0.000114397	0.000151184	635.301
11	0.000151184	0.000198929	733.611
12	0.000198929	0.000260896	820.059
13	0.000260896	0.000341321	890.486
14	0.000341321	0.000445702	946.178
15	0.000445702	0.000581173	982.358
16	0.000581173	0.000756998	994.023
17	0.000756998	0.000985194	986.359
18	0.000985194	0.00128136	974.256
19	0.00128136	0.00166575	962.721
20	0.00166575	0.00216463	935.274
21	0.00216463	0.00281211	865.628
22	0.00281211	0.00365246	742.088
23	0.00365246	0.00474311	584.257
24	0.00474311	0.00615864	423.574
25	0.00615864	0.0079958	284.99
26	0.0079958	0.0103802	188.059
27	0.0103802	0.0134748	125.463
28	0.0134748	0.0174912	125.463
29	0.0174912	0.0227039	93.7211
30	0.0227039	0.0294694	93.7211
31	0.0294694	inf	93.7211
