time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	0.392173
1	2.71271e-06	6.23343e-06	0.392173
2	6.23343e-06	1.08029e-05	71.5803
3	1.08029e-05	1.67334e-05	326.393
4	1.67334e-05	2.44304e-05	561.971
5	2.44304e-05	3.44201e-05	578.673
6	3.44201e-05	4.73853e-05	534.386
7	4.73853e-05	6.42125e-05	531.693
8	6.42125e-05	8.60519e-05	577.681
9	8.60519e-05	0.000114397	657.936
10	0.000114397	0.000151184	755.48
11	0.000151184	0.000198929	849.629
12	0.000198929	0.000260896	933.921
13	0.000260896	0.000341321	1014.33
14	0.000341321	0.000445702	1086.1
15	0.000445702	0.000581173	1141.29
16	0.000581173	0.000756998	1177.32
17	0.000756998	0.000985194	1195.72
18	0.000985194	0.00128136	1195.82
19	0.00128136	0.00166575	1169.62
20	0.00166575	0.00216463	1100.78
21	0.00216463	0.00281211	976.236
22	0.00281211	0.00365246	807.863
23	0.00365246	0.00474311	621.272
24	0.00474311	0.00615864	439.732
25	0.00615864	0.0079958	283.007
26	0.0079958	0.0103802	171.185
27	0.0103802	0.0134748	103.52
28	0.0134748	0.0174912	103.52
29	0.0174912	0.0227039	84.5277
30	0.0227039	0.0294694	84.5277
31	0.0294694	inf	84.5277
