time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	39.7998
1	2.71271e-06	6.23343e-06	39.7998
2	6.23343e-06	1.08029e-05	321.255
3	1.08029e-05	1.67334e-05	526.155
4	1.67334e-05	2.44304e-05	557.267
5	2.44304e-05	3.44201e-05	476.813
6	3.44201e-05	4.73853e-05	448.476
7	4.73853e-05	6.42125e-05	482.644
8	6.42125e-05	8.60519e-05	557.862
9	8.60519e-05	0.000114397	657.665
10	0.000114397	0.000151184	755.946
11	0.000151184	0.000198929	838.609
12	0.000198929	0.000260896	917.5
13	0.000260896	0.000341321	1001.59
14	0.000341321	0.000445702	1075.45
15	0.000445702	0.000581173	1122.7
16	0.000581173	0.000756998	1136.58
17	0.000756998	0.000985194	1121.04
18	0.000985194	0.00128136	1090.79
19	0.00128136	0.00166575	1049.8
20	0.00166575	0.00216463	982.671
21	0.00216463	0.00281211	874.206
22	0.00281211	0.00365246	729.484
23	0.00365246	0.00474311	567.571
24	0.00474311	0.00615864	409.482
25	0.00615864	0.0079958	275.868
26	0.0079958	0.0103802	185.593
27	0.0103802	0.0134748	129.054
28	0.0134748	0.0174912	129.054
29	0.0174912	0.0227039	88.1087
30	0.0227039	0.0294694	88.1087
31	0.0294694	inf	88.1087
