time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.71271e-06	221.991
1	2.71271e-06	6.23343e-06	221.991
2	6.23343e-06	1.08029e-05	981.203
3	1.08029e-05	1.67334e-05	1260.36
4	1.67334e-05	2.44304e-05	1077.49
5	2.44304e-05	3.44201e-05	763.182
6	3.44201e-05	4.73853e-05	577.658
7	4.73853e-05	6.42125e-05	535.588
8	6.42125e-05	8.60519e-05	586.076
9	8.60519e-05	0.000114397	682.813
10	0.000114397	0.000151184	781.666
11	0.000151184	0.000198929	861.648
12	0.000198929	0.000260896	933.015
13	0.000260896	0.000341321	1006.96
14	0.000341321	0.000445702	1078.89
15	0.000445702	0.000581173	1140.01
16	0.000581173	0.000756998	1185.11
17	0.000756998	0.000985194	1210.78
18	0.000985194	0.00128136	1212.56
19	0.00128136	0.00166575	1179.12
20	0.00166575	0.00216463	1095.04
21	0.00216463	0.00281211	954.647
22	0.00281211	0.00365246	771.36
23	0.00365246	0.00474311	571.318
24	0.00474311	0.00615864	386.558
25	0.00615864	0.0079958	243.39
26	0.0079958	0.0103802	153.643
27	0.0103802	0.0134748	104.977
28	0.0134748	0.0174912	104.977
29	0.0174912	0.0227039	33.2471
30	0.0227039	0.0294694	33.2471
31	0.0294694	inf	33.2471
