time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	80.9954
1	4.63768e-06	1.05405e-05	80.9954
2	1.05405e-05	1.80537e-05	481.545
3	1.80537e-05	2.76165e-05	476.59
4	2.76165e-05	3.97881e-05	423.988
5	3.97881e-05	5.52802e-05	434.177
6	5.52802e-05	7.49986e-05	510.821
7	7.49986e-05	0.000100096	611.127
8	0.000100096	0.000132041	706.407
9	0.000132041	0.0001727	793.988
10	0.0001727	0.00022445	879.48
11	0.00022445	0.000290319	962.468
12	0.000290319	0.000374157	1037.73
13	0.000374157	0.000480867	1095.77
14	0.000480867	0.000616687	1124.02
15	0.000616687	0.00078956	1119.27
16	0.00078956	0.00100959	1089.11
17	0.00100959	0.00128965	1044.46
18	0.00128965	0.00164611	990.339
19	0.00164611	0.00209982	920.381
20	0.00209982	0.0026773	825.648
21	0.0026773	0.00341231	707.239
22	0.00341231	0.00434784	574.758
23	0.00434784	0.00553859	440.791
24	0.00553859	0.00705419	319.822
25	0.00705419	0.00898324	227.552
26	0.00898324	0.0114385	170.254
27	0.0114385	0.0145637	148.784
28	0.0145637	0.0185413	148.784
29	0.0185413	0.0236041	33.4711
30	0.0236041	0.0300481	33.4711
31	0.0300481	inf	33.4711
