time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.63768e-06	1845.32
1	4.63768e-06	1.05405e-05	1845.32
2	1.05405e-05	1.80537e-05	1551.06
3	1.80537e-05	2.76165e-05	814.598
4	2.76165e-05	3.97881e-05	593.232
5	3.97881e-05	5.52802e-05	559.835
6	5.52802e-05	7.49986e-05	592.962
7	7.49986e-05	0.000100096	652.482
8	0.000100096	0.000132041	729.694
9	0.000132041	0.0001727	815.698
10	0.0001727	0.00022445	898.656
11	0.00022445	0.000290319	975.38
12	0.000290319	0.000374157	1044.07
13	0.000374157	0.000480867	1096.91
14	0.000480867	0.000616687	1119.31
15	0.000616687	0.00078956	1109.3
16	0.00078956	0.00100959	1077.86
17	0.00100959	0.00128965	1034.49
18	0.00128965	0.00164611	978.649
19	0.00164611	0.00209982	904.382
20	0.00209982	0.0026773	806.069
21	0.0026773	0.00341231	684.219
22	0.00341231	0.00434784	549.231
23	0.00434784	0.00553859	416.81
24	0.00553859	0.00705419	302.61
25	0.00705419	0.00898324	217.227
26	0.00898324	0.0114385	161.935
27	0.0114385	0.0145637	128.116
28	0.0145637	0.0185413	128.116
29	0.0185413	0.0236041	159.949
30	0.0236041	0.0300481	159.949
31	0.0300481	inf	159.949
