time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3709.4599999999996	191.302	1071.38
1	2.71271e-06	6.23343e-06	3709.4599999999996	191.302	1071.38
2	6.23343e-06	1.08029e-05	3709.4599999999996	1383.28	1071.38
3	1.08029e-05	1.67334e-05	3709.4599999999996	1792.46	1071.38
4	1.67334e-05	2.44304e-05	3283.646	1422.84	1185.2160000000001
5	2.44304e-05	3.44201e-05	1580.39	943.311	1640.5600000000002
6	3.44201e-05	4.73853e-05	977.8111000000004	659.043	1025.1710999999998
7	4.73853e-05	6.42125e-05	657.2345999999999	552.687	712.5102
8	6.42125e-05	8.60519e-05	567.7384	551.671	647.6956
9	8.60519e-05	0.000114397	589.8975	605.757	689.836
10	0.000114397	0.000151184	653.5751999999998	682.283	767.4209999999999
11	0.000151184	0.000198929	734.3682	764.809	835.6868999999999
12	0.000198929	0.000260896	814.9614	846.226	911.0032
13	0.000260896	0.000341321	870.0239999999999	920.612	985.3418000000001
14	0.000341321	0.000445702	909.6266	979.815	1049.1620000000003
15	0.000445702	0.000581173	938.7290000000002	1016.86	1095.2649999999999
16	0.000581173	0.000756998	954.2005000000001	1029.57	1118.059
17	0.000756998	0.000985194	955.7284000000001	1026.07	1118.138
18	0.000985194	0.00128136	953.4011000000002	1018.62	1107.3160000000003
19	0.00128136	0.00166575	951.3691000000002	1007.96	1080.512
20	0.00166575	0.00216463	936.0549999999998	978.728	1020.9565000000001
21	0.00216463	0.00281211	886.4541999999998	906.524	923.7213999999999
22	0.00281211	0.00365246	779.5473999999999	779.458	776.9158000000002
23	0.00365246	0.00474311	609.4678000000001	608.4	590.4472000000001
24	0.00474311	0.00615864	438.7236999999999	430.646	417.86289999999997
25	0.00615864	0.0079958	290.74449999999996	281.45	274.78
26	0.0079958	0.0103802	184.41039999999995	180.632	179.94180000000006
27	0.0103802	0.0134748	123.31780000000002	118.092	129.5025
28	0.0134748	0.0174912	95.37220000000003	118.092	114.55799999999998
29	0.0174912	0.0227039	89.85368000000001	75.2259	98.432
30	0.0227039	0.0294694	81.5759	75.2259	74.24300000000001
31	0.0294694	inf	81.5759	75.2259	74.243
