time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	27.8332	0.392182	1038.26
1	2.71271e-06	6.23343e-06	27.8332	0.392182	1038.26
2	6.23343e-06	1.08029e-05	27.8332	86.8551	1038.26
3	1.08029e-05	1.67334e-05	27.8332	354.379	1038.26
4	1.67334e-05	2.44304e-05	52.42736000000001	450.927	1162.284
5	2.44304e-05	3.44201e-05	150.804	372.241	1658.3799999999999
6	3.44201e-05	4.73853e-05	112.17247000000002	261.874	1041.1515000000002
7	4.73853e-05	6.42125e-05	102.72126000000002	222.656	720.3098000000001
8	6.42125e-05	8.60519e-05	120.45200000000001	231.443	641.5828
9	8.60519e-05	0.000114397	153.0305	272.582	672.7814
10	0.000114397	0.000151184	197.08790000000002	339.004	754.7022000000002
11	0.000151184	0.000198929	252.58040000000005	417.077	833.6776
12	0.000198929	0.000260896	321.1592	497.286	911.7442
13	0.000260896	0.000341321	393.0044	571.865	985.9123000000002
14	0.000341321	0.000445702	467.9676	633.87	1049.6680000000001
15	0.000445702	0.000581173	545.49	682.498	1093.56
16	0.000581173	0.000756998	629.0852999999998	718.887	1111.319
17	0.000756998	0.000985194	700.0931999999999	747.948	1106.122
18	0.000985194	0.00128136	763.9086	776.628	1089.3700000000001
19	0.00128136	0.00166575	813.036	812.908	1060.189
20	0.00166575	0.00216463	831.3065000000001	850.175	1007.9259999999998
21	0.00216463	0.00281211	812.1326	856.659	923.9032000000002
22	0.00281211	0.00365246	741.2018	799.301	790.0104000000001
23	0.00365246	0.00474311	605.6175999999999	668.491	609.4636
24	0.00474311	0.00615864	450.8113000000001	487.911	433.5114999999999
25	0.00615864	0.0079958	310.17600000000004	317.027	282.0845
26	0.0079958	0.0103802	210.68950000000007	203.477	179.7688
27	0.0103802	0.0134748	155.6578	141.035	126.001
28	0.0134748	0.0174912	131.872	141.035	108.72500000000001
29	0.0174912	0.0227039	109.42500000000003	71.6534	107.29619999999998
30	0.0227039	0.0294694	75.7545	71.6534	105.15299999999998
31	0.0294694	inf	75.7545	71.6534	105.153
