time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	327.51500000000004	0.392172	22.8548
1	2.71271e-06	6.23343e-06	327.51500000000004	0.392172	22.8548
2	6.23343e-06	1.08029e-05	327.51500000000004	14.9482	22.8548
3	1.08029e-05	1.67334e-05	327.51500000000004	120.665	22.8548
4	1.67334e-05	2.44304e-05	363.026	176.619	39.63484
5	2.44304e-05	3.44201e-05	505.07	145.05	106.755
6	3.44201e-05	4.73853e-05	374.50460000000004	118.327	86.19649
7	4.73853e-05	6.42125e-05	349.9188	127.834	76.62498
8	6.42125e-05	8.60519e-05	422.80339999999995	172.128	78.50179999999999
9	8.60519e-05	0.000114397	537.6197999999999	233.654	94.80785999999998
10	0.000114397	0.000151184	650.5534000000001	306.145	139.98029999999997
11	0.000151184	0.000198929	742.9633000000001	392.151	211.74569999999997
12	0.000198929	0.000260896	826.3097999999999	480.115	300.9926
13	0.000260896	0.000341321	900.0049999999999	557.566	383.3338
14	0.000341321	0.000445702	965.0962	622.432	458.84659999999997
15	0.000445702	0.000581173	1016.1095	679.335	535.751
16	0.000581173	0.000756998	1047.431	728.3	623.9813
17	0.000756998	0.000985194	1056.704	770.852	703.3173999999999
18	0.000985194	0.00128136	1061.1440000000002	815.547	780.9288
19	0.00128136	0.00166575	1060.7599999999998	869.246	850.1943000000002
20	0.00166575	0.00216463	1033.57	922.375	892.6039999999999
21	0.00216463	0.00281211	962.8314000000001	936.221	893.3015999999999
22	0.00281211	0.00365246	826.0733999999998	861.903	823.8688000000002
23	0.00365246	0.00474311	628.9168999999998	692.009	659.3191
24	0.00474311	0.00615864	441.9029000000001	482.572	474.1066
25	0.00615864	0.0079958	283.8955000000001	300.67	314.08899999999994
26	0.0079958	0.0103802	174.84680000000003	181.928	202.50720000000004
27	0.0103802	0.0134748	114.4814	111.78	139.23809999999997
28	0.0134748	0.0174912	91.0083	111.78	112.09400000000001
29	0.0174912	0.0227039	100.20818000000001	100.679	107.6896
30	0.0227039	0.0294694	114.00800000000002	100.679	101.083
31	0.0294694	inf	114.008	100.679	101.083
