time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	55.0781	33.4268	22.3227
1	2.71271e-06	6.23343e-06	55.0781	33.4268	22.3227
2	6.23343e-06	1.08029e-05	55.0781	10.3126	22.3227
3	1.08029e-05	1.67334e-05	55.0781	9.53043	22.3227
4	1.67334e-05	2.44304e-05	53.15628	21.1551	39.31756
5	2.44304e-05	3.44201e-05	45.469	32.8912	107.29699999999997
6	3.44201e-05	4.73853e-05	72.13396	37.9916	107.82690000000002
7	4.73853e-05	6.42125e-05	110.59187999999999	43.3665	106.08159999999998
8	6.42125e-05	8.60519e-05	172.4064	57.9589	107.44579999999999
9	8.60519e-05	0.000114397	273.1934	93.5735	130.47039999999998
10	0.000114397	0.000151184	433.43010000000004	161.485	189.5312
11	0.000151184	0.000198929	617.2461000000001	256.728	263.50680000000006
12	0.000198929	0.000260896	751.5532000000001	340.315	337.7512
13	0.000260896	0.000341321	772.7231	395.394	408.31820000000005
14	0.000341321	0.000445702	749.0282	446.662	480.01360000000005
15	0.000445702	0.000581173	738.0829999999999	507.934	549.9495000000001
16	0.000581173	0.000756998	754.4471000000002	579.253	622.5356000000002
17	0.000756998	0.000985194	790.0638	658.41	686.8696000000001
18	0.000985194	0.00128136	841.1981999999999	744.297	759.6393
19	0.00128136	0.00166575	897.5167999999999	835.987	844.5257000000001
20	0.00166575	0.00216463	925.2204999999999	918.357	912.1070000000002
21	0.00216463	0.00281211	897.8591999999999	945.503	932.1747999999998
22	0.00281211	0.00365246	795.9603999999999	872.491	872.1095999999998
23	0.00365246	0.00474311	626.0284999999999	706.86	702.3052
24	0.00474311	0.00615864	457.8001999999999	502.472	501.52570000000003
25	0.00615864	0.0079958	310.4235	320.452	326.1685
26	0.0079958	0.0103802	202.00320000000002	197.555	205.14040000000006
27	0.0103802	0.0134748	137.9766	120.72	137.0263
28	0.0134748	0.0174912	113.378	120.72	107.586
29	0.0174912	0.0227039	93.19295999999999	97.8676	117.53160000000001
30	0.0227039	0.0294694	62.915399999999984	97.8676	132.45000000000002
31	0.0294694	inf	62.9154	97.8676	132.45
