time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.71271e-06	3806.3500000000004	236.422	28.9583
1	2.71271e-06	6.23343e-06	3806.3500000000004	236.422	28.9583
2	6.23343e-06	1.08029e-05	3806.3500000000004	1166.43	28.9583
3	1.08029e-05	1.67334e-05	3806.3500000000004	1076.37	28.9583
4	1.67334e-05	2.44304e-05	3373.178	660.048	43.59584000000001
5	2.44304e-05	3.44201e-05	1640.49	370.587	102.14600000000003
6	3.44201e-05	4.73853e-05	995.5191000000001	236.04	83.14793000000002
7	4.73853e-05	6.42125e-05	651.0174000000001	186.603	74.63914000000001
8	6.42125e-05	8.60519e-05	551.7094	189.683	76.82832
9	8.60519e-05	0.000114397	569.5205000000001	227.648	92.05384000000001
10	0.000114397	0.000151184	637.5737	293.801	137.80710000000002
11	0.000151184	0.000198929	729.2612000000001	382.504	212.27909999999997
12	0.000198929	0.000260896	811.7956	468.55	303.16580000000005
13	0.000260896	0.000341321	861.0471000000001	536.282	383.6197
14	0.000341321	0.000445702	898.6510000000001	594.644	456.936
15	0.000445702	0.000581173	928.6865	648.241	532.0585
16	0.000581173	0.000756998	945.3819000000002	696.118	617.2960999999999
17	0.000756998	0.000985194	950.7210000000001	743.092	693.7002
18	0.000985194	0.00128136	961.1273	797.157	771.4415000000001
19	0.00128136	0.00166575	982.8729999999998	861.248	845.6267
20	0.00166575	0.00216463	994.2825000000001	922.558	894.4195000000001
21	0.00216463	0.00281211	960.9572000000001	939.232	901.6095999999999
22	0.00281211	0.00365246	852.5248	865.246	837.7924
23	0.00365246	0.00474311	661.3383	696.458	670.5260000000002
24	0.00474311	0.00615864	463.33799999999997	488.201	476.498
25	0.00615864	0.0079958	299.0520000000001	309.239	310.60949999999997
26	0.0079958	0.0103802	186.447	189.79	196.18149999999997
27	0.0103802	0.0134748	118.49310000000003	110.032	130.7833
28	0.0134748	0.0174912	80.8027	110.032	102.00999999999999
29	0.0174912	0.0227039	86.99502	87.5203	105.29720000000002
30	0.0227039	0.0294694	96.28349999999999	87.5203	110.22800000000002
31	0.0294694	inf	96.2835	87.5203	110.228
